Label: D
Points: 19
0 115 442
0.01 115 442
0.02 116 442
0.03 116 442
0.04 116 442
0.05 116 439
0.06 116 436
0.07 116 432
0.08 115 418
0.09 115 409
0.1 113 399
0.11 113 387
0.12 111 363
0.13 111 351
0.14 111 340
0.15 111 327
0.16 111 304
0.17 111 293
0.18 111 281

Label: y
Points: 74
0 104 309
0.01 103 309
0.02 103 308
0.03 102 308
0.04 102 305
0.05 102 303
0.06 100 300
0.07 100 297
0.08 96 290
0.09 96 284
0.1 94 278
0.11 91 271
0.12 90 264
0.13 87 257
0.14 83 250
0.15 82 242
0.16 82 231
0.17 85 226
0.18 89 223
0.19 93 221
0.2 97 219
0.21 103 219
0.22 109 218
0.23 115 218
0.24 122 223
0.25 125 225
0.26 128 228
0.27 131 233
0.28 140 242
0.29 145 248
0.3 149 253
0.31 154 259
0.32 160 271
0.33 163 275
0.34 166 279
0.35 166 283
0.36 168 285
0.37 169 288
0.38 169 288
0.39 171 289
0.4 171 289
0.41 171 289
0.42 171 289
0.43 171 289
0.44 169 287
0.45 169 284
0.46 166 281
0.47 164 277
0.48 162 266
0.49 162 259
0.5 160 253
0.51 159 246
0.52 158 228
0.53 158 219
0.54 156 209
0.55 156 199
0.56 153 180
0.57 153 170
0.58 153 161
0.59 153 152
0.6 153 136
0.61 153 129
0.62 152 123
0.63 150 117
0.64 143 111
0.65 137 109
0.66 130 108
0.67 122 108
0.68 112 108
0.69 101 111
0.7 89 114
0.71 78 116
0.72 65 120
0.73 60 123

Label: T
Points: 22
0 167 452
0.01 167 452
0.02 166 451
0.03 166 451
0.04 166 448
0.05 166 443
0.06 167 436
0.07 169 426
0.08 172 406
0.09 174 396
0.1 174 386
0.11 174 374
0.12 174 350
0.13 174 338
0.14 172 326
0.15 172 316
0.16 172 306
0.17 172 297
0.18 172 289
0.19 172 283
0.2 172 275
0.21 174 274

Label: 5
Points: 99
0 183 455
0.01 183 455
0.02 183 455
0.03 183 454
0.04 183 454
0.05 182 454
0.06 179 454
0.07 176 454
0.08 172 454
0.09 166 454
0.1 158 453
0.11 150 453
0.12 142 452
0.13 133 450
0.14 124 450
0.15 115 448
0.16 101 446
0.17 95 444
0.18 89 442
0.19 85 441
0.2 78 437
0.21 76 437
0.22 74 437
0.23 73 437
0.24 73 437
0.25 73 437
0.26 73 437
0.27 74 437
0.28 74 437
0.29 78 437
0.3 79 438
0.31 81 438
0.32 84 438
0.33 86 438
0.34 87 438
0.35 90 437
0.36 91 437
0.37 94 435
0.38 97 433
0.39 100 433
0.4 104 432
0.41 104 432
0.42 106 431
0.43 106 430
0.44 109 429
0.45 110 426
0.46 110 424
0.47 110 423
0.48 110 418
0.49 110 417
0.5 110 414
0.51 110 413
0.52 110 411
0.53 111 411
0.54 111 411
0.55 111 411
0.56 111 411
0.57 111 411
0.58 113 411
0.59 115 411
0.6 120 410
0.61 123 410
0.62 126 409
0.63 129 409
0.64 138 406
0.65 143 404
0.66 148 402
0.67 154 400
0.68 165 395
