Label: c
Points: 29
0 180 299
0.01 178 301
0.02 175 303
0.03 172 304
0.04 164 304
0.05 158 302
0.06 151 300
0.07 145 296
0.08 138 291
0.09 132 284
0.1 126 274
0.11 119 264
0.12 114 254
0.13 110 236
0.14 112 227
0.15 115 220
0.16 119 213
0.17 124 207
0.18 134 203
0.19 143 198
0.2 153 195
0.21 174 193
0.22 183 193
0.23 191 195
0.24 198 197
0.25 204 198
0.26 210 198
0.27 212 200
0.28 213 200

Label: 5
Points: 99
0 183 455
0.01 183 455
0.02 183 455
0.03 183 454
0.04 183 454
0.05 182 454
0.06 179 454
0.07 176 454
0.08 172 454
0.09 166 454
0.1 158 453
0.11 150 453
0.12 142 452
0.13 133 450
0.14 124 450
0.15 115 448
0.16 101 446
0.17 95 444
0.18 89 442
0.19 85 441
0.2 78 437
0.21 76 437
0.22 74 437
0.23 73 437
0.24 73 437
0.25 73 437
0.26 73 437
0.27 74 437
0.28 74 437
0.29 78 437
0.3 79 438
0.31 81 438
0.32 84 438
0.33 86 438
0.34 87 438
0.35 90 437
0.36 91 437
0.37 94 435
0.38 97 433
0.39 100 433
0.4 104 432
0.41 104 432
0.42 106 431
0.43 106 430
0.44 109 429
0.45 110 426
0.46 110 424
0.47 110 423
0.48 110 418
0.49 110 417
0.5 110 414
0.51 110 413
0.52 110 411
0.53 111 411
0.54 111 411
0.55 111 411
0.56 111 411
0.57 111 411
0.58 113 411
0.59 115 411
0.6 120 410
0.61 123 410
0.62 126 409
0.63 129 409
0.64 138 406
0.65 143 404
0.66 148 402
0.67 154 400
0.68 165 395
0.69 170 392
0.7 175 389
0.71 179 386
0.72 184 382
0.73 190 376
0.74 196 370
0.75 201 362
0.76 208 348
0.77 210 340
0.78 211 333
0.79 211 326
0.8 210 312
0.81 206 306
0.82 202 299
0.83 196 294
0.84 184 286
0.85 176 283
0.86 168 280
0.87 159 279
0.88 139 279
0.89 129 279
0.9 119 282
0.91 110 284
0.92 101 289
0.93 92 294
0.94 85 298
0.95 79 306
0.96 77 310
0.97 77 314
0.98 75 319

Label: G
Points: 36
0 205 477
0.01 202 479
0.02 198 481
0.03 194 482
0.04 188 482
0.05 184 484
0.06 180 484
0.07 177 484
0.08 173 485
0.09 168 483
0.1 162 482
0.11 156 480
0.12 142 473
0.13 135 468
0.14 127 463
0.15 120 456
0.16 102 441
0.17 93 432
0.18 85 422
0.19 78 413
0.2 67 392
0.21 63 382
0.22 61 372
0.23 61 362
0.24 63 344
0.25 67 335
0.26 72 328
0.27 79 321
0.28 96 309
0.29 107 305
0.3 119 301
0.31 132 298
0.32 145 297
0.33 159 297
0.34 174 299
0.35 186 304

Label: R
Points: 92
0 113 478
0.01 113 477
0.02 113 475
0.03 115 473
0.04 115 465
0.05 115 462
0.06 115 456
0.07 115 449
0.08 110 434
0.09 107 425
0.1 104 415
0.11 101 406
0.12 98 395
0.13 98 381
0.14 96 367
0.15 94 353
0.16 97 328
0.17 99 318
0.18 102 310
0.19 104 303
0.2 107 293
0.21 107 290
0.22 107 288
0.23 107 288
0.24 108 288
0.25 108 289
0.26 108 292
0.27 108 297
0.28 108 311
0.29 109 318
0.3 109 328
0.31 110 338
0.32 112 361
0.33 112 373
0.34 114 386
0.35 114 400
0.36 116 414
0.37 119 430
0.38 122 445
0.39 125 460
0.4 128 473
0.41 132 483
0.42 136 491
0.43 140 497
0.44 145 503
0.45 149 505
0.46 156 506
0.47 162 506
0.48 169 504
0.49 177 500
0.5 183 495
0.51 191 487
0.52 198 479
0.53 209 463
0.54 212 455
0.55 215 447
0.56 217 437
0.57 217 429
0.58 217 420
0.59 217 412
0.6 212 407
0.61 202 399
0.62 197 398
0.63 191 397
0.64 185 397
0.65 178 397
0.66 171 399
0.67 164 401
0.68 153 405
0.69 149 407
0.7 145 409
0.71 141 411
0.72 141 411
0.73 141 411
0.74 140 410
0.75 141 405
0.76 142 401
0.77 144 396
0.78 146 391
0.79 148 384
0.8 152 376
0.81 156 367
0.82 162 351
0.83 164 343
0.84 166 336
0.85 168 328
0.86 171 315
0.87 173 309
0.88 173 304
0.89 175 300
0.9 176 293
0.91 176 291

Label: U
Points: 77
0 84 498
0.01 84 498
0.02 84 498
0.03 84 498
0.04 84 497
0.05 84 494
0.06 85 491
0.07 85 487
0.08 85 474
0.09 85 467
0.1 84 459
0.11 82 450
0.12 77 430
0.13 76 419
0.14 74 408
