Label: X
Points: 22
0 238 460
0.01 236 459
0.02 232 456
0.03 228 451
0.04 222 444
0.05 211 432
0.06 201 417
0.07 187 403
0.08 159 373
0.09 147 359
0.1 135 346
0.11 125 332
0.12 115 320
0.13 106 309
0.14 97 300
0.15 91 293
0.16 86 288
0.17 86 288
0.18 86 288
0.19 85 288
0.2 85 287
0.21 85 289

Label: 5
Points: 87
0 251 444
0.01 251 444
0.02 251 444
0.03 249 443
0.04 247 440
0.05 247 437
0.06 243 433
0.07 237 426
0.08 232 423
0.09 227 421
0.1 220 419
0.11 215 416
0.12 208 415
0.13 200 415
0.14 193 415
0.15 180 416
0.16 176 417
0.17 171 417
0.18 167 420
0.19 158 422
0.2 149 423
0.21 147 423
0.22 144 425
0.23 143 425
0.24 141 425
0.25 141 423
0.26 138 423
0.27 136 423
0.28 135 423
0.29 135 421
0.3 135 419
0.31 133 416
0.32 133 413
0.33 133 410
0.34 133 407
0.35 133 401
0.36 131 396
0.37 129 389
0.38 129 383
0.39 129 376
0.4 127 370
0.41 127 365
0.42 127 361
0.43 127 357
0.44 129 352
0.45 130 349
0.46 134 345
0.47 134 345
0.48 136 345
0.49 138 345
0.5 141 345
0.51 147 345
0.52 154 346
0.53 161 349
0.54 173 355
0.55 179 357
0.56 183 359
0.57 189 359
0.58 201 359
0.59 207 359
0.6 214 356
0.61 220 354
0.62 227 349
0.63 237 341
0.64 244 334
0.65 251 324
0.66 258 310
0.67 260 303
0.68 260 297
0.69 260 286
0.7 258 280
0.71 255 275
0.72 249 269
0.73 235 262
0.74 226 259
0.75 216 256
0.76 207 256
0.77 189 256
0.78 180 256
0.79 174 258
0.8 167 259
0.81 160 263
0.82 157 263
0.83 155 265
0.84 154 265
0.85 152 265
0.86 152 266

Label: C
Points: 56
0 175 432
0.01 176 432
0.02 174 431
0.03 174 430
0.04 174 428
0.05 176 427
0.06 176 426
0.07 177 425
0.08 177 422
0.09 181 420
0.1 183 419
0.11 183 417
0.12 183 417
0.13 183 417
0.14 183 417
0.15 184 417
0.16 184 417
0.17 186 417
0.18 186 419
0.19 185 420
