Label: X
Points: 22
0 238 460
0.01 236 459
0.02 232 456
0.03 228 451
0.04 222 444
0.05 211 432
0.06 201 417
0.07 187 403
0.08 159 373
0.09 147 359
0.1 135 346
0.11 125 332
0.12 115 320
0.13 106 309
0.14 97 300
0.15 91 293
0.16 86 288
0.17 86 288
0.18 86 288
0.19 85 288
0.2 85 287
0.21 85 289

Label: c
Points: 25
0 125 341
0.01 125 343
0.02 125 345
0.03 125 345
0.04 125 348
0.05 121 349
0.06 118 348
0.07 113 348
0.08 106 346
0.09 98 341
0.1 92 336
0.11 85 328
0.12 80 319
0.13 77 312
0.14 75 304
0.15 75 295
0.16 74 287
0.17 75 278
0.18 78 271
0.19 85 265
0.2 93 259
0.21 113 252
0.22 122 251
0.23 132 251
0.24 141 251

Label: 3
Points: 43
0 94 394
0.01 98 399
0.02 105 404
0.03 116 411
0.04 141 424
0.05 156 432
0.06 171 437
0.07 183 442
0.08 207 446
0.09 214 446
0.1 220 446
0.11 224 444
0.12 225 439
0.13 225 435
0.14 221 429
0.15 218 424
0.16 211 419
0.17 200 412
0.18 190 406
0.19 179 401
0.2 165 393
0.21 160 390
0.22 156 388
0.23 154 386
0.24 154 384
0.25 156 384
0.26 158 383
0.27 164 383
0.28 181 377
0.29 188 373
0.3 195 366
0.31 199 358
0.32 200 338
0.33 198 332
0.34 189 318
0.35 181 308
0.36 171 298
0.37 160 293
0.38 137 288
0.39 126 288
0.4 116 291
0.41 107 295
0.42 92 303

Label: w
Points: 57
0 55 366
0.01 55 366
0.02 55 363
0.03 55 360
0.04 55 351
0.05 55 344
0.06 53 337
0.07 53 327
0.08 51 304
0.09 49 293
0.1 49 282
0.11 48 273
0.12 48 259
0.13 48 255
0.14 48 253
0.15 51 253
0.16 55 253
0.17 61 259
0.18 68 268
0.19 76 279
0.2 89 302
0.21 94 311
0.22 98 321
0.23 101 329
0.24 103 336
0.25 105 342
0.26 105 346
0.27 107 346
0.28 109 345
0.29 111 341
0.3 113 336
0.31 115 330
0.32 120 312
0.33 121 302
0.34 124 292
0.35 126 284
0.36 129 276
0.37 135 268
