Label: 1
Points: 174
0 52 381
0.01 52 381
0.02 52 381
0.03 50 382
0.04 50 382
0.05 50 382
0.06 49 382
0.07 49 382
0.08 49 384
0.09 49 384
0.1 49 386
0.11 51 389
0.12 52 391
0.13 55 396
0.14 57 404
0.15 58 411
0.16 63 420
0.17 68 433
0.18 74 446
0.19 81 461
0.2 92 487
0.21 96 499
0.22 99 511
0.23 103 522
0.24 106 533
0.25 110 546
0.26 113 559
0.27 116 572
0.28 119 592
0.29 121 598
0.3 123 602
0.31 126 605
0.32 126 606
0.33 128 608
0.34 128 608
0.35 129 608
0.36 129 606
0.37 131 602
0.38 131 596
0.39 133 586
0.4 133 560
0.41 133 545
0.42 130 529
0.43 128 512
0.44 128 492
0.45 128 468
0.46 130 444
0.47 130 421
0.48 130 385
0.49 130 372
0.5 128 360
0.51 127 350
0.52 122 335
0.53 120 330
0.54 117 326
0.55 80 455
0.56 70 456
0.57 61 456
0.58 139 436
0.59 141 436
0.6 141 437
0.61 141 437
0.62 141 437
0.63 141 437
0.64 141 436
0.65 141 437
0.66 141 437
0.67 141 436
0.68 141 436
0.69 139 436
0.7 139 436
0.71 139 436
0.72 139 436
0.73 139 436
0.74 138 436
0.75 138 436
0.76 136 436
0.77 136 436
0.78 132 438
0.79 129 439
0.8 127 439
0.81 124 440
0.82 121 441
0.83 118 441
0.84 114 441
0.85 111 443
0.86 103 443
0.87 99 443
0.88 96 443
0.89 92 443
0.9 83 445
0.91 78 445
0.92 73 447
0.93 68 448
0.94 63 449
0.95 57 451
0.96 52 452
0.97 48 452
0.98 43 454
0.99 40 454
1.0 39 455
1.01 37 455
1.02 35 455
1.03 35 455
0 0 0
0 0 0
0 137 331
0.01 138 336
0.02 138 344
0.03 140 350
0.04 140 364
0.05 138 370
0.06 135 374
0.07 132 379
0.08 128 382
0.09 122 385
0.1 115 389
0.11 107 390
0.12 94 389
0.13 87 385
0.14 81 381
0.15 75 377
0.16 71 370
0.17 66 361
0.18 63 350
0.19 58 339
0.2 52 319
0.21 50 310
0.22 50 300
0.23 51 292
0.24 55 277
0.25 58 271
0.26 60 266
0.27 64 263
0.28 73 259
0.29 79 259
0.3 84 259
0.31 91 259
0.32 97 264
0.33 106 270
0.34 117 278
0.35 126 288
0.36 143 308
0.37 148 319
0.38 154 332
0.39 158 347
0.4 163 362
0.41 169 381
0.42 173 401
0.43 176 421
0.44 179 438
0.45 182 451
0.46 184 462
0.47 186 469
0.48 188 475
0.49 188 475
0.5 188 475
0.51 188 475
0.52 188 469
0.53 187 464
0.54 185 458
0.55 185 450
0.56 182 441
0.57 179 428
0.58 177 413
0.59 172 398
0.6 165 368
0.61 162 355
0.62 159 342
0.63 158 329
0.64 154 307
0.65 154 297
0.66 152 289
0.67 152 282

Label: 0
Points: 54
0 0 0
0 0 0
0 196 386
0.01 196 385
0.02 196 385
0.03 196 384
0.04 195 380
0.05 193 377
0.06 192 373
0.07 192 370
0.08 189 363
0.09 189 359
0.1 189 357
0.11 189 354
0.12 189 352
0.13 187 352
0.14 187 352
0.15 187 354
0.16 187 358
0.17 187 361
0.18 187 365
0.19 187 370
0.2 186 379
0.21 186 384
0.22 186 389
0.23 184 393
0.24 183 397
0.25 181 401
0.26 178 404
0.27 173 409
0.28 167 412
0.29 163 413
0.3 156 413
0.31 149 411
0.32 143 408
0.33 136 401
0.34 129 395
0.35 122 386
0.36 110 368
0.37 105 360
0.38 100 351
0.39 98 342
0.4 94 323
0.41 94 314
0.42 94 306
0.43 95 298
0.44 98 285
0.45 98 280
0.46 102 275
0.47 107 272
0.48 112 268
0.49 124 263
0.5 130 262
0.51 137 262

Label: 3
Points: 214
0 184 465
0.01 184 465
0.02 184 465
0.03 184 464
0.04 184 462
0.05 185 459
0.06 184 456
0.07 182 452
0.08 177 445
0.09 175 440
0.1 173 435
0.11 170 431
0.12 168 426
0.13 165 422
0.14 162 417
0.15 162 412
0.16 161 408
0.17 161 406
0.18 163 404
0.19 164 404
0.2 166 405
0.21 169 407
0.22 170 411
0.23 172 415
0.24 175 427
0.25 176 432
0.26 177 438
0.27 177 444
0.28 177 449
0.29 177 456
0.3 175 463
0.31 172 469
0.32 172 474
0.33 167 478
0.34 164 481
0.35 162 481
0.36 156 481
0.37 153 478
0.38 149 476
0.39 146 471
0.4 137 461
0.41 132 455
0.42 126 447
0.43 120 439
0.44 108 419
0.45 101 408
0.46 95 395
0.47 90 383
0.48 85 371
0.49 82 355
0.5 80 340
0.51 80 326
0.52 82 301
0.53 86 291
0.54 90 282
0.55 95 275
0.56 107 262
0.57 115 257
0.58 123 253
0.59 132 250
0.6 141 248
0.61 154 247
0.62 163 248
0.63 172 249
