Label: f
Points: 47
0 562 673
0.1 562 672
0.2 563 672
0.3 565 673
0.4 566 674
0.5 574 681
0.6 577 684
0.7 581 687
0.8 585 692
0.9 588 697
1.0 590 704
1.1 591 710
1.2 591 717
1.3 591 723
1.4 591 726
1.5 590 725
1.6 589 721
1.7 587 716
1.8 583 707
1.9 578 695
2.0 571 682
2.1 564 667
2.2 557 654
2.3 551 643
2.4 546 632
2.5 542 623
2.6 539 616
2.7 537 610
2.8 537 606
2.9 538 604
3.0 541 606
3.1 544 608
3.2 547 611
3.3 551 615
3.4 552 621
3.5 554 628
3.6 556 634
3.7 558 641
3.8 560 647
3.9 562 653
4.0 564 657
4.1 566 660
4.2 567 661
4.3 568 660
4.4 570 660
4.5 573 660
4.6 578 661

Label: n
Points: 21
0 1257 698
0.1 1257 699
0.2 1257 696
0.3 1257 694
0.4 1256 689
0.5 1250 675
0.6 1248 672
0.7 1248 670
0.8 1250 669
0.9 1252 671
1.0 1256 674
1.1 1260 677
1.2 1263 679
1.3 1264 678
1.4 1264 676
1.5 1264 674
1.6 1264 670
1.7 1264 665
1.8 1264 660
1.9 1266 657
2.0 1269 656

Label: -
Points: 11
0 303 677
0.1 302 677
0.2 302 676
0.3 303 674
0.4 305 674
0.5 312 674
0.6 315 674
0.7 319 675
0.8 323 676
0.9 328 677
1.0 332 678

Label: e
Points: 26
0 1268 682
0.1 1268 681
0.2 1267 679
0.3 1269 679
0.4 1270 679
0.5 1278 682
0.6 1280 682
0.7 1283 683
0.8 1286 684
0.9 1288 686
1.0 1290 689
1.1 1291 692
1.2 1291 695
1.3 1289 696
1.4 1287 698
1.5 1284 697
1.6 1280 696
1.7 1276 692
1.8 1272 688
1.9 1268 682
2.0 1266 676
2.1 1265 672
2.2 1266 669
2.3 1268 667
2.4 1272 667
2.5 1277 667

Label: A
Points: 37
0 359 708
0.1 359 710
0.2 360 712
0.3 362 713
0.4 363 715
0.5 360 705
0.6 357 698
0.7 352 690
0.8 347 681
0.9 340 671
1.0 334 664
1.1 331 660
1.2 331 660
1.3 332 662
1.4 335 666
1.5 338 671
1.6 342 678
1.7 346 686
1.8 349 693
1.9 352 700
2.0 355 705
2.1 357 710
2.2 360 715
2.3 363 719
2.4 367 723
2.5 370 724
2.6 373 723
2.7 374 721
2.8 373 715
2.9 372 707
3.0 370 696
3.1 368 685
3.2 365 676
3.3 363 669
3.4 362 664
3.5 362 660
3.6 363 659

Label: s
Points: 23
0 635 694
0.1 636 695
0.2 636 696
0.3 636 698
0.4 635 696
0.5 627 693
0.6 625 691
0.7 622 689
0.8 621 685
0.9 621 684
1.0 622 682
1.1 624 681
1.2 627 680
1.3 629 678
1.4 631 674
1.5 630 671
1.6 629 667
1.7 626 663
1.8 623 660
1.9 619 657
2.0 616 657
2.1 615 657
2.2 613 659

Label: t
Points: 23
0 1294 684
0.1 1294 685
0.2 1295 687
0.3 1296 690
0.4 1298 691
0.5 1305 696
0.6 1308 698
0.7 1312 702
0.8 1316 706
0.9 1320 710
1.0 1323 716
1.1 1326 721
1.2 1328 727
1.3 1328 731
1.4 1329 732
1.5 1328 730
1.6 1327 725
1.7 1325 717
1.8 1320 708
1.9 1314 698
2.0 1308 689
2.1 1303 682
2.2 1299 676

Label: t
Points: 24
0 295 676
0.1 295 674
0.2 295 673
0.3 295 671
0.4 295 670
0.5 300 674
0.6 302 678
0.7 305 681
0.8 309 687
0.9 312 693
1.0 314 699
1.1 316 705
1.2 318 710
1.3 318 712
1.4 318 710
1.5 318 707
1.6 317 700
1.7 315 692
1.8 313 681
1.9 310 671
2.0 308 664
2.1 307 657
2.2 307 653
2.3 307 650

Label: s
Points: 26
0 1217 694
0.1 1218 694
0.2 1220 696
0.3 1221 696
0.4 1222 697
0.5 1223 695
0.6 1222 693
0.7 1219 692
0.8 1216 690
0.9 1211 687
1.0 1206 685
1.1 1202 682
1.2 1200 681
1.3 1202 680
1.4 1203 679
1.5 1206 678
1.6 1208 676
1.7 1211 673
1.8 1211 670
1.9 1209 665
2.0 1207 661
2.1 1203 658
2.2 1198 656
2.3 1194 656
2.4 1192 656
2.5 1194 657

Label: -
Points: 10
0 579 699
0.1 577 698
0.2 576 698
0.3 574 698
0.4 573 697
0.5 579 697
0.6 582 698
0.7 585 698
0.8 589 699
0.9 593 699

Label: t
Points: 23
0 628 678
0.1 628 676
0.2 628 678
0.3 629 680
0.4 630 682
0.5 635 689
0.6 636 692
0.7 639 696
0.8 641 701
0.9 644 707
1.0 646 714
1.1 647 721
1.2 649 726
1.3 649 729
1.4 649 729
1.5 649 726
1.6 649 720
1.7 647 712
1.8 645 703
1.9 642 692
2.0 638 684
2.1 636 677
2.2 635 671

Label: P
Points: 44
0 1120 725
0.1 1120 726
0.2 1122 728
0.3 1123 729
0.4 1124 729
0.5 1124 726
0.6 1123 722
0.7 1121 715
0.8 1117 706
0.9 1113 696
1.0 1109 687
1.1 1106 679
1.2 1104 674
1.3 1103 670
1.4 1103 670
1.5 1103 671
1.6 1105 673
1.7 1107 678
1.8 1110 683
1.9 1111 690
2.0 1113 698
2.1 1114 704
2.2 1116 712
2.3 1119 718
2.4 1122 724
2.5 1127 729
2.6 1133 734
2.7 1138 738
2.8 1144 741
2.9 1150 742
3.0 1155 742
3.1 1158 740
3.2 1161 737
3.3 1159 732
3.4 1158 726
3.5 1155 719
3.6 1152 712
3.7 1147 707
3.8 1141 703
3.9 1136 699
4.0 1131 698
4.1 1127 698
4.2 1124 699
4.3 1121 701

Label: i
Points: 14
0 587 661
0.1 588 662
0.2 589 664
0.3 590 665
0.4 592 668
0.5 599 677
0.6 601 680
0.7 603 683
0.8 604 685
0.9 604 684
1.0 604 682
1.1 602 679
1.2 602 674
1.3 601 670

Label: b
Points: 42
0 830 671
0.1 832 671
0.2 835 673
0.3 837 676
0.4 838 678
0.5 845 689
0.6 848 693
0.7 851 698
0.8 853 703
0.9 856 710
1.0 857 716
1.1 858 723
1.2 858 729
1.3 858 733
1.4 859 734
1.5 858 732
1.6 858 728
1.7 856 723
1.8 853 715
1.9 849 706
2.0 845 696
2.1 840 687
2.2 837 678
2.3 835 671
2.4 835 667
2.5 836 665
2.6 839 663
2.7 843 664
2.8 846 665
2.9 850 667
3.0 852 669
3.1 852 671
3.2 852 674
3.3 851 677
3.4 851 679
3.5 852 681
3.6 852 681
3.7 853 681
3.8 855 680
3.9 858 679
4.0 860 680
4.1 863 681

Label: e
Points: 26
0 391 676
0.1 390 674
0.2 389 673
0.3 391 672
0.4 394 672
0.5 401 676
0.6 404 678
0.7 407 679
0.8 410 682
0.9 413 685
1.0 413 689
1.1 413 691
1.2 411 693
1.3 407 693
1.4 401 692
1.5 394 689
1.6 389 685
1.7 384 679
1.8 382 673
1.9 380 667
2.0 380 662
2.1 381 658
2.2 384 656
2.3 387 654
2.4 391 653
2.5 396 654

Label: -
Points: 8
0 242 689
0.1 245 689
0.2 247 689
0.3 249 689
0.4 252 689
0.5 259 689
0.6 260 689
0.7 262 690

Label: +
Points: 8
0 816 699
0.1 816 698
0.2 817 698
0.3 819 698
0.4 821 698
0.5 830 701
0.6 834 702
0.7 838 702

Label: u
Points: 27
0 777 694
0.1 777 695
0.2 777 696
0.3 777 695
0.4 777 694
0.5 777 689
0.6 775 685
0.7 774 681
0.8 772 675
0.9 771 670
1.0 770 665
1.1 771 662
1.2 773 663
1.3 775 664
1.4 780 666
1.5 784 669
1.6 788 674
1.7 791 679
1.8 793 684
1.9 794 686
2.0 794 685
2.1 793 682
2.2 791 678
2.3 790 674
2.4 788 668
2.5 789 664
2.6 791 662

Label: (
Points: 16
0 318 733
0.1 319 735
0.2 319 736
0.3 320 737
0.4 320 739
0.5 313 736
0.6 311 732
0.7 307 726
0.8 301 717
0.9 295 706
1.0 290 694
1.1 288 685
1.2 289 678
1.3 291 671
1.4 296 667
1.5 302 664

Label: e
Points: 25
0 874 678
0.1 874 676
0.2 875 676
0.3 877 676
0.4 878 676
0.5 886 677
0.6 888 678
0.7 891 680
0.8 893 683
0.9 896 686
1.0 897 690
1.1 897 693
1.2 896 695
1.3 894 695
1.4 890 694
1.5 885 691
1.6 880 685
1.7 875 680
1.8 872 674
1.9 871 668
2.0 871 664
2.1 872 661
2.2 875 659
2.3 880 659
2.4 887 660

Label: g
Points: 39
0 1301 682
0.1 1300 681
0.2 1298 679
0.3 1296 677
0.4 1292 674
0.5 1282 660
0.6 1280 657
0.7 1280 655
0.8 1281 654
0.9 1284 655
1.0 1289 657
1.1 1294 659
1.2 1300 663
1.3 1303 668
1.4 1305 674
1.5 1305 679
1.6 1305 681
1.7 1303 679
1.8 1302 678
1.9 1301 674
2.0 1300 670
2.1 1300 663
2.2 1300 656
2.3 1300 648
2.4 1300 639
2.5 1298 629
2.6 1296 620
2.7 1292 612
2.8 1288 606
2.9 1284 602
3.0 1281 600
3.1 1278 601
3.2 1277 606
3.3 1277 611
3.4 1278 618
3.5 1280 626
3.6 1283 633
3.7 1288 639
3.8 1294 642

Label: i
Points: 18
0 610 665
0.1 610 664
0.2 610 661
0.3 610 660
