Label: h
Points: 36
0 814 680
0.1 816 682
0.2 819 685
0.3 821 687
0.4 824 690
0.5 832 698
0.6 835 702
0.7 836 706
0.8 838 710
0.9 839 715
1.0 839 718
1.1 839 717
1.2 838 713
1.3 836 708
1.4 832 701
1.5 827 692
1.6 821 684
1.7 816 677
1.8 813 671
1.9 811 668
2.0 812 668
2.1 813 670
2.2 816 672
2.3 819 675
2.4 822 679
2.5 825 683
2.6 827 684
2.7 828 683
2.8 829 681
2.9 830 679
3.0 831 676
3.1 832 673
3.2 833 670
3.3 835 667
3.4 837 666
3.5 839 665

Label: a
Points: 37
0 1267 682
0.1 1268 682
0.2 1269 682
0.3 1270 683
0.4 1271 684
0.5 1270 685
0.6 1269 684
0.7 1266 682
0.8 1263 680
0.9 1259 676
1.0 1255 673
1.1 1253 669
1.2 1253 667
1.3 1255 665
1.4 1257 665
1.5 1260 665
1.6 1264 667
1.7 1269 668
1.8 1273 671
1.9 1278 674
2.0 1281 678
2.1 1281 681
2.2 1280 683
2.3 1278 684
2.4 1276 684
2.5 1273 683
2.6 1270 681
2.7 1269 678
2.8 1268 674
2.9 1269 670
3.0 1270 666
3.1 1273 664
3.2 1277 662
3.3 1282 662
3.4 1289 662
3.5 1295 664
3.6 1300 665

Label: t
Points: 20
0 389 677
0.1 388 676
0.2 388 677
0.3 390 678
0.4 392 679
0.5 396 688
0.6 398 692
0.7 399 696
0.8 401 701
0.9 402 707
1.0 402 713
1.1 403 717
1.2 403 718
1.3 403 716
1.4 403 712
1.5 402 705
1.6 402 696
1.7 401 688
1.8 401 681
1.9 400 674

Label: r
Points: 22
0 306 682
0.1 307 679
0.2 309 678
0.3 309 675
0.4 309 673
0.5 312 666
0.6 313 663
0.7 313 660
0.8 313 656
0.9 313 654
1.0 312 656
1.1 312 659
1.2 310 662
1.3 310 667
1.4 310 671
1.5 311 677
1.6 313 680
1.7 316 683
1.8 320 684
1.9 324 684
2.0 329 684
2.1 333 684

Label: e
Points: 26
0 1268 682
0.1 1268 681
0.2 1267 679
0.3 1269 679
0.4 1270 679
0.5 1278 682
0.6 1280 682
0.7 1283 683
