Label: r
Points: 21
0 962 687
0.1 962 686
0.2 962 684
0.3 962 681
0.4 962 679
0.5 962 667
0.6 962 664
0.7 963 660
0.8 963 656
0.9 962 654
1.0 962 656
1.1 962 657
1.2 962 660
1.3 963 664
1.4 964 670
1.5 967 675
1.6 971 679
1.7 975 682
1.8 980 682
1.9 983 682
2.0 987 681

Label: t
Points: 20
0 389 677
0.1 388 676
0.2 388 677
0.3 390 678
0.4 392 679
0.5 396 688
0.6 398 692
0.7 399 696
0.8 401 701
0.9 402 707
1.0 402 713
1.1 403 717
1.2 403 718
1.3 403 716
1.4 403 712
1.5 402 705
1.6 402 696
1.7 401 688
1.8 401 681
1.9 400 674

Label: I
Points: 10
0 638 742
0.1 638 740
0.2 638 737
0.3 638 735
0.4 636 728
0.5 626 706
0.6 622 700
0.7 617 693
0.8 612 686
0.9 607 679

Label: D
Points: 10
0 227 720
0.1 227 718
0.2 227 715
0.3 227 713
0.4 227 709
0.5 227 689
0.6 227 681
0.7 226 673
0.8 225 664
0.9 224 655

Label: T
Points: 10
0 1030 699
0.1 1031 699
0.2 1033 699
0.3 1036 699
0.4 1038 699
0.5 1045 700
0.6 1049 700
0.7 1052 701
0.8 1056 701
0.9 1061 702

Label: e
Points: 27
0 490 675
0.1 492 675
0.2 494 675
0.3 496 675
0.4 499 676
0.5 504 677
0.6 507 678
0.7 509 680
0.8 511 682
0.9 513 685
1.0 513 689
1.1 512 690
1.2 510 692
1.3 507 693
1.4 504 692
1.5 500 692
1.6 496 689
1.7 493 686
1.8 490 682
1.9 489 677
2.0 489 673
2.1 490 668
2.2 491 665
2.3 493 662
2.4 496 660
2.5 501 659
2.6 505 659

Label: m
Points: 39
0 1124 690
0.1 1124 687
0.2 1124 685
0.3 1124 684
0.4 1123 682
0.5 1122 674
0.6 1121 671
0.7 1120 667
0.8 1118 662
0.9 1116 656
1.0 1116 653
1.1 1116 654
1.2 1117 656
1.3 1120 660
1.4 1124 666
1.5 1129 674
1.6 1134 681
1.7 1139 687
