Label: C
Points: 23
0 1675 692
0.1 1676 694
0.2 1677 696
0.3 1678 698
0.4 1679 701
0.5 1679 708
0.6 1679 710
0.7 1678 713
0.8 1676 714
0.9 1672 713
1.0 1667 712
1.1 1661 709
1.2 1655 703
1.3 1650 695
1.4 1648 685
1.5 1647 676
1.6 1648 669
1.7 1650 664
1.8 1654 659
1.9 1660 658
2.0 1668 658
2.1 1676 660
2.2 1682 662

Label: r
Points: 21
0 962 687
0.1 962 686
0.2 962 684
0.3 962 681
0.4 962 679
0.5 962 667
0.6 962 664
0.7 963 660
0.8 963 656
0.9 962 654
1.0 962 656
1.1 962 657
1.2 962 660
1.3 963 664
1.4 964 670
1.5 967 675
1.6 971 679
1.7 975 682
1.8 980 682
1.9 983 682
2.0 987 681

Label: t
Points: 20
0 389 677
0.1 388 676
0.2 388 677
0.3 390 678
0.4 392 679
0.5 396 688
0.6 398 692
0.7 399 696
0.8 401 701
0.9 402 707
1.0 402 713
1.1 403 717
1.2 403 718
1.3 403 716
1.4 403 712
1.5 402 705
1.6 402 696
1.7 401 688
1.8 401 681
1.9 400 674

Label: I
Points: 10
0 638 742
0.1 638 740
0.2 638 737
0.3 638 735
0.4 636 728
0.5 626 706
0.6 622 700
0.7 617 693
0.8 612 686
0.9 607 679

Label: D
Points: 10
0 227 720
0.1 227 718
0.2 227 715
0.3 227 713
0.4 227 709
0.5 227 689
0.6 227 681
0.7 226 673
0.8 225 664
0.9 224 655

Label: c
Points: 17
0 1060 703
0.1 1060 706
0.2 1060 708
0.3 1058 709
0.4 1057 709
0.5 1046 709
0.6 1042 706
0.7 1037 701
0.8 1033 695
0.9 1030 685
1.0 1029 676
1.1 1030 668
1.2 1032 661
1.3 1038 657
1.4 1045 656
1.5 1054 657
1.6 1063 659

Label: n
Points: 24
0 774 696
0.1 773 693
0.2 772 691
0.3 771 687
0.4 771 684
0.5 763 669
0.6 761 666
0.7 760 662
0.8 760 660
0.9 761 662
1.0 764 665
1.1 769 671
1.2 775 678
1.3 782 687
1.4 789 694
1.5 795 698
1.6 800 700
1.7 804 699
1.8 807 696
1.9 807 692
2.0 805 687
2.1 803 681
2.2 801 674
2.3 799 669

Label: e
Points: 24
0 916 678
0.1 917 679
0.2 920 681
0.3 924 683
0.4 929 685
0.5 944 693
0.6 947 695
0.7 952 699
0.8 955 702
0.9 955 706
1.0 953 707
1.1 948 708
1.2 942 707
1.3 934 704
1.4 927 698
1.5 921 690
1.6 918 681
1.7 917 671
1.8 919 664
1.9 922 658
2.0 928 654
2.1 938 651
2.2 950 651
2.3 963 653

Label: e
Points: 25
0 685 696
0.1 686 696
0.2 687 696
0.3 690 696
0.4 692 696
0.5 701 699
0.6 705 701
0.7 709 703
0.8 713 706
0.9 715 709
1.0 715 712
1.1 713 715
1.2 711 717
1.3 707 716
1.4 700 714
1.5 693 710
1.6 686 703
1.7 681 694
1.8 677 686
1.9 677 679
2.0 679 674
2.1 683 670
2.2 691 667
2.3 700 667
2.4 711 668

Label: T
Points: 10
0 1030 699
0.1 1031 699
0.2 1033 699
0.3 1036 699
0.4 1038 699
0.5 1045 700
0.6 1049 700
0.7 1052 701
0.8 1056 701
0.9 1061 702

Label: R
Points: 9
0 1134 714
0.1 1131 712
0.2 1130 707
0.3 1129 701
0.4 1128 695
0.5 1122 681
0.6 1120 676
0.7 1118 672
0.8 1116 668

Label: e
Points: 27
0 490 675
0.1 492 675
0.2 494 675
0.3 496 675
0.4 499 676
0.5 504 677
0.6 507 678
0.7 509 680
0.8 511 682
0.9 513 685
1.0 513 689
1.1 512 690
1.2 510 692
1.3 507 693
1.4 504 692
1.5 500 692
1.6 496 689
1.7 493 686
1.8 490 682
1.9 489 677
2.0 489 673
2.1 490 668
2.2 491 665
2.3 493 662
2.4 496 660
2.5 501 659
2.6 505 659

Label: m
Points: 39
0 1124 690
0.1 1124 687
0.2 1124 685
0.3 1124 684
0.4 1123 682
0.5 1122 674
0.6 1121 671
0.7 1120 667
0.8 1118 662
0.9 1116 656
1.0 1116 653
1.1 1116 654
1.2 1117 656
1.3 1120 660
1.4 1124 666
1.5 1129 674
1.6 1134 681
1.7 1139 687
1.8 1142 689
1.9 1144 688
2.0 1143 685
2.1 1142 682
2.2 1141 677
2.3 1139 671
2.4 1138 665
2.5 1136 660
2.6 1136 659
2.7 1136 660
2.8 1138 663
2.9 1141 667
3.0 1144 671
3.1 1149 676
3.2 1152 681
3.3 1155 682
3.4 1156 680
3.5 1156 678
3.6 1156 674
3.7 1155 670
3.8 1155 665

Label: p
Points: 33
0 1113 690
0.1 1111 688
0.2 1111 685
0.3 1110 682
0.4 1109 678
0.5 1103 660
0.6 1101 654
0.7 1098 645
0.8 1095 637
0.9 1091 628
1.0 1089 621
1.1 1087 618
1.2 1088 619
1.3 1090 623
1.4 1093 631
1.5 1097 640
1.6 1102 651
1.7 1108 663
1.8 1113 673
1.9 1119 683
2.0 1124 690
2.1 1130 696
2.2 1136 699
2.3 1142 699
2.4 1147 697
2.5 1150 693
2.6 1149 687
2.7 1146 680
2.8 1139 672
2.9 1131 665
3.0 1121 658
3.1 1111 654
3.2 1105 651

Label: p
Points: 34
0 1155 679
0.1 1155 678
0.2 1155 676
0.3 1155 672
0.4 1155 668
0.5 1154 654
0.6 1153 648
0.7 1151 640
0.8 1149 631
0.9 1147 621
1.0 1144 612
1.1 1142 604
1.2 1141 600
1.3 1139 603
1.4 1140 607
1.5 1141 615
1.6 1142 625
1.7 1143 639
1.8 1145 654
1.9 1147 668
2.0 1150 680
2.1 1153 689
2.2 1158 694
2.3 1163 696
2.4 1167 695
2.5 1170 692
2.6 1172 689
2.7 1174 684
2.8 1173 679
2.9 1172 673
3.0 1169 668
3.1 1167 665
3.2 1163 663
3.3 1158 662

Label: r
Points: 20
0 705 687
0.1 705 686
0.2 706 683
0.3 707 681
0.4 708 677
0.5 710 665
0.6 710 660
0.7 710 656
0.8 710 653
0.9 709 651
1.0 708 653
1.1 708 657
1.2 709 663
1.3 711 670
1.4 713 678
1.5 717 684
1.6 721 689
1.7 725 690
1.8 729 690
1.9 733 690

Label: r
Points: 22
0 524 692
0.1 524 690
0.2 524 689
0.3 524 686
0.4 524 684
0.5 524 674
0.6 524 671
0.7 524 667
0.8 524 662
0.9 523 662
1.0 522 664
1.1 522 667
