Label: a
Points: 39
Width: 0.136325
Duration: 357.048
Centroid: 0.511325 0.615769
0 0.641849 0.65
0.0165566 0.641849 0.668338
0.0421188 0.641849 0.69279
0.0650878 0.641849 0.723354
0.0881433 0.641849 0.753919
0.112923 0.623511 0.784483
0.136719 0.605172 0.815047
0.160579 0.562382 0.839499
0.184675 0.507367 0.845611
0.208341 0.440125 0.839499
0.232842 0.397335 0.82116
0.257102 0.305643 0.753919
0.282009 0.189498 0.631661
0.305916 0.0611286 0.466615
0.330155 0.00611285 0.295455
0.354463 0 0.197649
0.378433 0.0183385 0.0937306
0.402927 0.0550156 0.0753921
0.426111 0.201724 0.0815049
0.449874 0.348433 0.154859
0.474108 0.452351 0.277116
0.497799 0.507367 0.417712
0.52203 0.531818 0.497179
0.546741 0.537931 0.570533
0.570161 0.537931 0.643887
0.594928 0.537931 0.686677
0.61915 0.550157 0.711129
0.643117 0.562382 0.723354
0.666992 0.562382 0.73558
0.783769 0.562382 0.711129
0.807983 0.562382 0.65
0.831639 0.574608 0.546082
0.855728 0.635737 0.374922
0.880194 0.709091 0.2221
0.905059 0.776332 0.136521
0.929442 0.825235 0.105956
0.952371 0.843574 0.0998434
0.976118 0.849686 0.0998434
1 0.849686 0.105956

Label: a
Points: 33
Width: 0.140455
Duration: 308.28
Centroid: 0.473788 0.567828
0 0.628911 0.650126
0.0515105 0.628911 0.656059
0.0785412 0.634844 0.691658
0.106699 0.634844 0.721323
0.132917 0.617044 0.762855
0.161109 0.581446 0.792521
0.187734 0.545847 0.81032
0.215373 0.45685 0.798454
0.243728 0.338188 0.750989
0.276177 0.183927 0.656059
0.299063 0.0652643 0.531463
0.326561 0.0118662 0.395002
0.354171 0 0.288206
0.38208 0.0118662 0.228874
0.410351 0.0593311 0.211075
0.438583 0.160194 0.205142
0.466491 0.261057 0.252607
0.495428 0.427185 0.359403
0.522766 0.539914 0.478065
0.550881 0.605178 0.584862
0.596551 0.64671 0.656059
0.60596 0.652643 0.685724
0.634705 0.652643 0.71539
0.663736 0.652643 0.721323
0.778242 0.652643 0.71539
0.807208 0.652643 0.632326
0.835541 0.658576 0.489932
0.863285 0.694175 0.300072
0.889981 0.729774 0.181409
0.918039 0.765373 0.145811
0.945509 0.783172 0.139877
0.972709 0.783172 0.139877
1 0.783172 0.151744

Label: a
Points: 32
Width: 0.0953646
Duration: 288.686
Centroid: 0.489948 0.564635
0 0.500273 0.807755
0.0228473 0.500273 0.860186
0.0517828 0.500273 0.912616
0.0821205 0.474058 0.965046
0.11305 0.430366 1
0.142492 0.395412 1
0.172205 0.342982 0.991262
0.202367 0.238121 0.886401
0.23296 0.176952 0.746587
0.262809 0.0720915 0.466958
0.293788 0.0283996 0.265975
0.323405 0.0283996 0.161114
0.352958 0.0633532 0.117422
0.383211 0.13326 0.0999455
0.413569 0.325505 0.108684
0.442846 0.474058 0.161114
0.474124 0.605134 0.257236
0.503473 0.666302 0.370836
0.532577 0.683779 0.475696
0.563103 0.675041 0.589296
0.592818 0.648826 0.667941
0.622911 0.640087 0.694156
0.654303 0.631349 0.694156
0.76162 0.631349 0.67668
0.792514 0.631349 0.598034
0.822304 0.640087 0.449481
0.851585 0.683779 0.274713
0.882102 0.727471 0.196068
0.912059 0.806117 0.143637
0.940912 0.858547 0.126161
0.970045 0.884762 0.117422
1 0.902239 0.117422

Label: a
Points: 34
Width: 0.0945588
Duration: 303.854
Centroid: 0.483382 0.569559
0 0.640747 0.669777
0.021338 0.640747 0.713842
0.0504424 0.623121 0.749093
0.0789113 0.605495 0.810783
0.108077 0.579057 0.854847
0.136354 0.552618 0.872473
0.164683 0.517367 0.872473
0.192612 0.455676 0.86366
0.221715 0.349922 0.784344
0.250268 0.226542 0.660965
0.279034 0.120788 0.49352
0.308187 0.0679107 0.387766
0.335701 0.0414721 0.273198
0.363725 0.050285 0.202696
0.392282 0.0855364 0.167444
0.419726 0.156039 0.158631
0.447279 0.270606 0.176257
0.47595 0.393987 0.264386
0.503908 0.455676 0.37014
0.532179 0.534992 0.49352
0.559627 0.570244 0.55521
0.588213 0.587869 0.625713
0.61698 0.587869 0.660965
0.64464 0.579057 0.687403
0.673859 0.579057 0.696216
0.776692 0.579057 0.687403
0.803865 0.579057 0.669777
0.831431 0.579057 0.634526
0.859537 0.614308 0.511146
0.88783 0.711249 0.290824
0.921382 0.83463 0.114567
0.94383 0.905132 0.0264386
0.971883 0.95801 0
1 0.966822 0

Label: a
Points: 36
Width: 0.0833333
Duration: 318.163
Centroid: 0.510972 0.526667
0 0.674167 0.65
0.00051719 0.674167 0.67
0.0278554 0.664167 0.72
0.0542528 0.654167 0.79
0.081294 0.604167 0.88
0.108971 0.574167 0.95
0.13608 0.524167 0.98
0.16295 0.464167 1
0.191185 0.414167 0.98
0.217861 0.294167 0.89
0.244697 0.194167 0.75
0.272405 0.0941667 0.549999
0.300562 0.0241667 0.369999
0.326999 0.00416673 0.179999
0.354045 0.00416673 0.119999
0.379751 0.0341667 0.109999
0.406359 0.104167 0.109999
0.433069 0.234167 0.149999
0.460265 0.334167 0.219999
0.486644 0.464167 0.339999
0.513842 0.554167 0.429999
0.540181 0.604167 0.499999
0.567293 0.614167 0.569999
0.593976 0.614167 0.609999
0.620814 0.614167 0.619999
0.729043 0.614167 0.619999
0.756652 0.614167 0.589999
0.783604 0.624167 0.499999
0.810798 0.644167 0.429999
0.838248 0.674167 0.349999
0.864086 0.724167 0.279999
0.892266 0.744167 0.249999
0.920182 0.784167 0.229999
0.946559 0.824167 0.209999
0.973677 0.854167 0.199999
1 0.864167 0.199999

Label: b
Points: 27
Width: 0.253827
Duration: 230.734
Centroid: 0.481049 0.541173
0 0.369893 1
0.0516989 0.369893 0.986868
0.088396 0.369893 0.960603
0.125038 0.383025 0.819431
0.16175 0.396158 0.635579
0.199776 0.412573 0.464859
0.23699 0.415856 0.36965
0.274897 0.415856 0.333536
0.312566 0.419139 0.330253
0.363625 0.419139 0.346669
0.401285 0.428988 0.395915
0.438016 0.45197 0.471425
0.474929 0.481517 0.527238
0.512335 0.524197 0.556785
0.55019 0.550462 0.560068
0.588544 0.58001 0.560068
0.626841 0.609557 0.54037
0.663779 0.635822 0.494407
0.700955 0.665369 0.415613
0.738807 0.671936 0.36965
0.776317 0.671936 0.340102
0.815016 0.668653 0.330253
0.851548 0.635822 0.32697
0.887989 0.573443 0.330253
0.925592 0.49465 0.336819
0.962357 0.45197 0.346669
1 0.432271 0.349952

Label: b
Points: 29
Width: 0.221379
Duration: 255.932
Centroid: 0.469655 0.548621
0 0.417965 1
0.0624384 0.417965 0.988707
0.0968923 0.4142 0.917186
0.130163 0.406672 0.792965
0.164839 0.406672 0.721443
0.198194 0.395379 0.574637
0.231743 0.380322 0.442887
0.266346 0.372793 0.37513
0.29923 0.372793 0.345016
0.334475 0.372793 0.341251
0.39053 0.372793 0.34878
0.425188 0.395379 0.40148
0.458738 0.425493 0.465472
0.492148 0.470665 0.521937
0.52628 0.527129 0.548287
0.560278 0.579829 0.552051
0.593043 0.617471 0.548287
0.628047 0.65135 0.529465
0.66126 0.681464 0.495587
0.694739 0.711578 0.431594
0.72913 0.719107 0.378894
0.762962 0.719107 0.356308
0.796745 0.696521 0.341251
0.831855 0.647586 0.333723
0.864634 0.557243 0.333723
0.898229 0.485722 0.341251
0.932077 0.444315 0.34878
0.966122 0.421729 0.360073
1 0.417965 0.363837

Label: b
Points: 32
Width: 0.229219
Duration: 269.968
Centroid: 0.513594 0.549115
0 0.375824 1
0.0431185 0.375824 0.992729
0.0756907 0.375824 0.945467
0.107527 0.375824 0.876392
0.139379 0.375824 0.774597
0.171369 0.390366 0.672802
0.204227 0.390366 0.52738
0.236067 0.390366 0.469212
0.268834 0.383095 0.396501
0.299712 0.383095 0.349239
0.332653 0.383095 0.338332
0.365149 0.383095 0.334697
0.398729 0.383095 0.349239
0.430145 0.390366 0.38923
0.462167 0.404908 0.465576
0.492611 0.430357 0.549193
0.524246 0.466712 0.585549
0.556323 0.528516 0.596456
0.587661 0.59032 0.59282
