Label: a
Points: 40
Width: 0.171536
Duration: 442.139
Centroid: 0.544929 0.635821
0 0.489798 0.845305
0.108262 0.485634 0.845305
0.12819 0.464813 0.845305
0.147112 0.427337 0.845305
0.166586 0.385696 0.845305
0.186306 0.335727 0.845305
0.205668 0.289923 0.845305
0.225311 0.23579 0.820321
0.244667 0.198313 0.770352
0.263814 0.177493 0.712055
0.283054 0.160837 0.62461
0.30239 0.152508 0.566313
0.32186 0.148344 0.487196
0.341823 0.14418 0.42057
0.360652 0.14418 0.333125
0.379435 0.156673 0.262336
0.420533 0.25661 0.15407
0.436559 0.323235 0.124922
0.45609 0.406516 0.120758
0.475543 0.48147 0.120758
0.495399 0.539767 0.15407
0.514971 0.585571 0.212367
0.535042 0.627212 0.291485
0.554639 0.652196 0.391422
0.573839 0.673017 0.508016
0.593148 0.677181 0.616282
0.612913 0.677181 0.678743
0.632153 0.673017 0.724547
0.652073 0.65636 0.766188
0.671041 0.652196 0.77868
0.691242 0.648032 0.787008
0.843268 0.648032 0.770352
0.863355 0.65636 0.678743
0.882524 0.698001 0.528836
0.901928 0.756298 0.333125
0.921987 0.810431 0.199875
0.942197 0.847907 0.0999376
0.960522 0.872892 0.0416406
0.980626 0.889548 0.00416399
1 0.893712 0

Label: a
Points: 39
Width: 0.164396
Duration: 376.834
Centroid: 0.522528 0.564395
0 0.579211 0.842915
0.0849153 0.570521 0.84726
0.108432 0.531417 0.860295
0.131119 0.496657 0.860295
0.153982 0.418449 0.860295
0.177351 0.309826 0.860295
0.200367 0.262032 0.860295
0.222393 0.205548 0.860295
0.245931 0.157753 0.816846
0.268594 0.144719 0.764706
0.291371 0.131684 0.664773
0.314339 0.118649 0.525736
0.337519 0.118649 0.338904
0.360442 0.118649 0.230281
0.383881 0.157753 0.121658
0.406627 0.188168 0.0695189
0.42942 0.262032 0.0130349
0.451593 0.322861 0
0.474681 0.396724 0
0.498088 0.483623 0.0173797
0.520155 0.557486 0.0782088
0.543731 0.618315 0.165107
0.566358 0.65742 0.26504
0.588657 0.683489 0.378008
0.611506 0.700869 0.508356
0.635138 0.713903 0.608289
0.657921 0.713903 0.682153
0.681393 0.713903 0.734292
0.703613 0.713903 0.751672
0.726445 0.713903 0.760361
0.817393 0.713903 0.756017
0.840982 0.713903 0.729947
0.864019 0.713903 0.669118
0.885993 0.718248 0.569185
0.909114 0.731283 0.451872
0.931819 0.753008 0.325869
0.954458 0.774733 0.260695
0.976368 0.800802 0.208556
1 0.818182 0.182487

Label: a
Points: 43
Width: 0.187874
Duration: 387.547
Centroid: 0.445017 0.604419
0 0.806013 0.731565
0.0611443 0.802211 0.735367
0.083847 0.760389 0.773386
0.105854 0.68435 0.834217
0.127709 0.593104 0.898851
0.149957 0.513263 0.929266
0.171388 0.403006 0.944474
0.193381 0.300354 0.944474
0.215264 0.224315 0.933068
0.237978 0.159682 0.895049
0.259812 0.0912467 0.803802
0.281937 0.0608311 0.735367
0.304299 0.0228116 0.640318
0.326843 0.00380188 0.530062
0.348979 0 0.412201
0.376911 0.0114058 0.267727
0.394012 0.0456233 0.187887
0.415911 0.102653 0.111848
0.437538 0.171088 0.0624222
0.460017 0.224315 0.0358086
0.48203 0.296552 0.016799
0.503603 0.372591 0.016799
0.525446 0.452432 0.0510165
0.547266 0.524669 0.134659
0.569354 0.570292 0.218302
0.591526 0.623519 0.328558
0.61384 0.665341 0.442617
0.636508 0.68435 0.514854
0.65932 0.707162 0.590893
0.681214 0.714766 0.632714
0.703318 0.726172 0.685942
0.725633 0.726172 0.712555
0.74808 0.726172 0.727763
0.770286 0.726172 0.731565
0.82197 0.726172 0.720159
0.844827 0.726172 0.678338
0.866671 0.726172 0.598497
0.8887 0.726172 0.450221
0.910913 0.767993 0.317153
0.932569 0.798409 0.2145
0.954538 0.828824 0.134659
0.977113 0.847834 0.0928379
1 0.855438 0.0814319

Label: a
Points: 44
Width: 0.193734
Duration: 373.146
Centroid: 0.474091 0.625162
0 0.706972 0.822189
0.0105456 0.673789 0.862745
0.0342357 0.640607 0.895927
0.0565636 0.60005 0.921736
0.0797394 0.555807 0.925423
0.102961 0.471007 0.936484
0.126782 0.393582 0.936484
0.14957 0.33459 0.936484
0.173073 0.246104 0.899614
0.196655 0.176052 0.84431
0.219626 0.128122 0.789006
0.242325 0.0728174 0.696832
0.265702 0.032261 0.600972
0.288561 0.0101394 0.501424
0.312451 0.00645245 0.387129
0.33529 0.00645245 0.276521
0.357972 0.0285741 0.184347
0.381432 0.0728174 0.0995476
0.404905 0.124435 0.0479303
0.428018 0.198174 0.0073739
0.451895 0.275599 0
0.474513 0.364086 0
0.496975 0.452573 0.0405564
0.52057 0.563181 0.114295
0.543529 0.614798 0.176973
0.567333 0.673789 0.26546
0.590933 0.714346 0.368695
0.613267 0.729094 0.471929
0.635636 0.73278 0.541981
0.658836 0.73278 0.623094
0.682231 0.73278 0.667337
0.705944 0.73278 0.71158
0.728229 0.73278 0.733702
0.752045 0.736467 0.737389
0.774403 0.736467 0.741076
0.814321 0.736467 0.733702
0.838299 0.736467 0.689459
0.8611 0.736467 0.608346
0.884271 0.736467 0.457181
0.907642 0.751215 0.309703
0.930142 0.780711 0.206469
0.953151 0.81758 0.121669
0.976757 0.839702 0.070052
1 0.861823 0.0368695

Label: a
Points: 44
Width: 0.200942
Duration: 381.531
Centroid: 0.435227 0.644903
0 0.725157 0.825497
0.0413373 0.714493 0.829051
0.0645989 0.686056 0.839715
0.0869543 0.632735 0.861044
0.109571 0.550977 0.875262
0.132441 0.46211 0.885926
0.155364 0.369688 0.885926
0.177415 0.259493 0.882372
0.200626 0.202617 0.84327
0.222656 0.12086 0.754403
0.245144 0.0817579 0.690418
0.26794 0.0391016 0.587332
0.290869 0.0142188 0.477137
0.313639 0 0.370496
0.336936 0 0.260301
0.359305 0.0213282 0.164324
0.381811 0.0639844 0.107449
0.404622 0.12086 0.0647925
0.428309 0.191953 0.0434643
0.451033 0.277266 0.0434643
0.472574 0.398125 0.0612378
0.494755 0.465665 0.0967848
0.51718 0.568751 0.178543
0.539878 0.618516 0.242527
0.562651 0.664727 0.32784
0.585424 0.69672 0.420262
0.607318 0.703829 0.49491
0.629466 0.703829 0.573113
0.651899 0.703829 0.654871
0.674034 0.703829 0.693973
0.696269 0.703829 0.72952
0.7192 0.703829 0.740184
0.742506 0.703829 0.743739
0.764462 0.703829 0.747293
0.796372 0.703829 0.733075
0.819669 0.703829 0.693973
0.842826 0.69672 0.626434
0.865466 0.69672 0.505574
0.88726 0.710938 0.391824
0.91033 0.735821 0.306512
0.932522 0.764259 0.228308
0.95576 0.785587 0.192761
0.978302 0.806915 0.167879
1 0.817579 0.157215

Label: a
Points: 40
Width: 0.215393
Duration: 365.732
Centroid: 0.414821 0.572536
0 0.720942 0.858896
0.0154015 0.704361 0.868844
0.0385731 0.671199 0.882109
0.0620838 0.61814 0.89869
0.0865691 0.555132 0.915271
0.109372 0.478859 0.921904
0.133502 0.392638 0.921904
0.156848 0.289836 0.911955
0.180358 0.216879 0.862212
0.204048 0.170453 0.809153
0.228157 0.114077 0.73288
0.251358 0.0809152 0.649975
0.275963 0.061018 0.553805
0.299279 0.061018 0.404576
0.322918 0.061018 0.315039
0.345099 0.0875476 0.225502
0.368409 0.130658 0.152545
0.392574 0.187034 0.106118
0.4153 0.243409 0.082905
0.439665 0.322998 0.0729564
0.463032 0.395954 0.0795888
0.486441 0.485492 0.129332
0.510261 0.555132 0.195656
0.534221 0.621456 0.291826
0.557323 0.66125 0.374731
0.581589 0.694412 0.477533
0.604918 0.707677 0.540541
0.628453 0.714309 0.590284
0.651975 0.717626 0.630078
0.675694 0.717626 0.649975
0.699362 0.717626 0.656608
0.723548 0.717626 0.659924
0.833863 0.717626 0.649975
0.858156 0.717626 0.610181
0.881536 0.717626 0.540541
0.905474 0.73089 0.397944
0.928979 0.764052 0.23545
0.952741 0.800531 0.109435
0.975731 0.830376 0.0331619
1 0.846957 0

Label: a
Points: 41
Width: 0.194181
Duration: 354.731
Centroid: 0.424181 0.590314
0 0.761439 0.863359
0.0215254 0.73569 0.88543
0.0450247 0.669478 0.911179
0.0701895 0.548089 0.918536
0.0942532 0.441414 0.918536
0.11851 0.334739 0.881751
0.143105 0.224385 0.804504
0.167843 0.128746 0.708864
0.191601 0.0514983 0.598511
0.216727 0.0183923 0.502871
0.241482 0 0.388839
0.265152 0 0.271129
0.288186 0 0.179167
0.312233 0.0183923 0.109277
0.336979 0.0551768 0.0504216
0.360641 0.106675 0.0173156
0.385541 0.172887 0.00628028
0.409481 0.253813 0.00995866
0.432994 0.360488 0.0651354
0.457507 0.452449 0.138704
0.481884 0.537054 0.249058
0.505463 0.61798 0.388839
0.529505 0.658443 0.484479
0.554653 0.695227 0.605868
0.578722 0.698905 0.679437
0.602959 0.702584 0.749327
0.626492 0.702584 0.786112
0.651511 0.702584 0.815539
0.676128 0.702584 0.826575
0.700849 0.702584 0.830253
0.755647 0.702584 0.826575
0.780528 0.702584 0.804504
0.80525 0.702584 0.749327
0.828468 0.702584 0.664723
0.853267 0.720976 0.517585
0.877986 0.761439 0.370447
0.901873 0.790867 0.26745
0.926631 0.812937 0.208595
0.950821 0.83133 0.164454
0.974758 0.8534 0.142383
1 0.864436 0.138704

Label: a
Points: 43
Width: 0.234585
Duration: 363.134
Centroid: 0.507442 0.580731
0 0.56635 0.802931
0.0132823 0.545036 0.818156
0.0368859 0.505452 0.836425
0.0599383 0.450644 0.85165
0.0839857 0.383657 0.857739
0.10835 0.313624 0.857739
0.131231 0.240547 0.857739
0.155765 0.179649 0.848605
0.178556 0.127886 0.821201
0.201498 0.0669877 0.760303
0.224822 0.0395836 0.699405
0.247964 0.0121796 0.620238
0.271696 0 0.480172
0.295658 0 0.394915
0.320558 0.0060898 0.25485
0.343467 0.0395836 0.172638
0.365904 0.088302 0.102606
0.389602 0.152245 0.0691119
0.412501 0.231412 0.0538874
0.436228 0.350163 0.0538874
0.459695 0.459779 0.096516
0.48318 0.557216 0.160459
0.507206 0.648562 0.239626
0.530522 0.718595 0.334018
0.553994 0.752089 0.42232
0.577318 0.764268 0.519756
0.600679 0.767313 0.611103
0.624237 0.767313 0.665911
0.648234 0.761223 0.70245
0.67219 0.752089 0.729854
0.695834 0.745999 0.742033
0.720268 0.742954 0.748123
0.762328 0.739909 0.748123
0.786801 0.736864 0.723764
0.810418 0.733819 0.675046
0.834064 0.733819 0.574564
0.857867 0.742954 0.455813
0.881815 0.785583 0.324883
0.9049 0.816031 0.230491
0.929323 0.849525 0.169593
0.952553 0.86475 0.148279
0.976197 0.876929 0.133055
1 0.883019 0.13001

Label: a
Points: 29
Width: 0.14468
Duration: 248.881
Centroid: 0.536108 0.539458
0 0.735614 0.83759
0.032085 0.710929 0.857337
0.0676387 0.646748 0.877086
0.10189 0.543071 0.882022
0.136431 0.38015 0.882022
0.171428 0.256724 0.83759
0.206691 0.133299 0.733912
0.241362 0.0543071 0.60555
0.277068 0.00987404 0.432755
0.31086 0 0.259959
0.345535 0 0.141471
0.380846 0.0493701 0.0674161
0.415705 0.157984 0.037794
0.449924 0.256724 0.0427311
0.485062 0.404835 0.156282
0.519321 0.567756 0.334014
0.553297 0.646748 0.45744
0.588557 0.730677 0.600613
0.622965 0.745488 0.65492
0.657698 0.760299 0.70429
0.692961 0.770173 0.724038
0.755656 0.760299 0.70429
0.791441 0.735614 0.640109
