Label: a
Points: 62
Width: 0.085027
Duration: 671.785
Centroid: 0.496694 0.583199
0 0.568447 0.755611
0.0770975 0.568447 0.74581
0.106863 0.568447 0.755611
0.119981 0.548845 0.804615
0.132913 0.539044 0.824217
0.145828 0.509642 0.853619
0.158341 0.49004 0.883021
0.171238 0.470439 0.883021
0.183373 0.411634 0.892822
0.195933 0.36263 0.892822
0.209226 0.313626 0.86342
0.221954 0.215618 0.824217
0.234659 0.147012 0.775213
0.247649 0.0882073 0.696806
0.260587 0.049004 0.638002
0.273327 0 0.520392
0.286626 0 0.412583
0.299319 0.0098008 0.314575
0.312111 0.0294024 0.25577
0.325235 0.0686058 0.196965
0.338121 0.107809 0.167563
0.350913 0.156813 0.157762
0.36406 0.205817 0.147961
0.376748 0.284223 0.147961
0.389494 0.343028 0.147961
0.402589 0.421435 0.147961
0.415486 0.460638 0.167563
0.427947 0.49004 0.177363
0.441169 0.509642 0.206766
0.453979 0.529244 0.275371
0.466545 0.539044 0.38318
0.47957 0.548845 0.451786
0.492554 0.568447 0.520392
0.50594 0.578247 0.608599
0.518761 0.588048 0.677205
0.531368 0.588048 0.716408
0.544038 0.588048 0.775213
0.556824 0.588048 0.814416
0.569355 0.588048 0.843818
0.582287 0.588048 0.86342
0.595149 0.588048 0.873221
0.666583 0.588048 0.86342
0.679771 0.588048 0.834017
0.692104 0.588048 0.785013
0.704908 0.588048 0.696806
0.717747 0.588048 0.608599
0.730383 0.60765 0.50079
0.743175 0.617451 0.412583
0.755793 0.637052 0.334177
0.76887 0.666455 0.265571
0.781639 0.676255 0.236168
0.79442 0.686056 0.216567
0.807404 0.695857 0.196965
0.820365 0.715459 0.187164
0.833111 0.735061 0.187164
0.846392 0.764463 0.187164
0.859051 0.803666 0.187164
0.871849 0.882073 0.206766
0.884892 0.911475 0.236168
0.898021 0.940877 0.25577
0.910633 0.950678 0.265571
1 0.950678 0.275371

Label: b
Points: 50
Width: 0.176167
Duration: 535.812
Centroid: 0.4912 0.5355
0 0.368874 1
0.0148577 0.368874 1
0.0312974 0.368874 0.966887
0.0472705 0.368874 0.919584
0.0628572 0.373605 0.829707
0.0785606 0.378335 0.692526
0.0943223 0.392526 0.545884
0.110091 0.392526 0.465468
0.126021 0.392526 0.413434
0.141593 0.397257 0.375591
0.157384 0.397257 0.351939
0.173131 0.397257 0.342479
0.189118 0.397257 0.337748
0.205172 0.401987 0.333018
0.335851 0.401987 0.337748
0.35232 0.406717 0.3614
0.368249 0.406717 0.413434
0.384251 0.406717 0.460738
0.400749 0.411448 0.503311
0.41708 0.416178 0.517502
0.432841 0.430369 0.560076
0.449325 0.43983 0.593188
0.46548 0.454021 0.62157
0.481606 0.468212 0.640492
0.496989 0.491864 0.659413
0.513239 0.520246 0.668874
0.529781 0.548628 0.683065
0.545557 0.600662 0.683065
0.561399 0.643236 0.683065
0.577372 0.681079 0.668874
0.593324 0.704731 0.654683
0.609545 0.737843 0.61211
0.625926 0.752034 0.574267
0.641702 0.761495 0.526963
0.658273 0.766225 0.456007
0.674246 0.766225 0.403973
0.690278 0.752034 0.3614
0.706032 0.723652 0.318827
0.722333 0.681079 0.285714
0.73792 0.643236 0.276253
0.754017 0.591202 0.271523
0.770661 0.529707 0.271523
0.78635 0.472942 0.276253
0.802665 0.44456 0.280984
0.818901 0.430369 0.285714
0.835989 0.430369 0.290444
0.852283 0.425639 0.295175
0.868278 0.420908 0.304636
0.884055 0.420908 0.309366
1 0.420908 0.314096

Label: c
Points: 38
Width: 0.0914035
Duration: 395.922
Centroid: 0.563202 0.546403
0 0.737764 0.674665
0.0905521 0.737764 0.665547
0.211956 0.728647 0.665547
0.233089 0.71953 0.674665
0.254578 0.701296 0.702016
0.276155 0.692179 0.729367
0.298187 0.664827 0.765835
0.320109 0.646593 0.802304
0.342062 0.628359 0.811421
0.363343 0.619242 0.838772
0.385739 0.601007 0.838772
0.407159 0.573656 0.847889
0.428845 0.537188 0.847889
0.45059 0.509837 0.847889
0.473055 0.446017 0.847889
0.49482 0.409549 0.847889
0.517019 0.336612 0.829655
0.538429 0.272792 0.811421
0.560549 0.245441 0.793187
0.58187 0.190739 0.747601
0.603724 0.15427 0.702016
0.624383 0.117802 0.610845
0.646296 0.0995679 0.519674
0.667035 0.108685 0.410269
0.68802 0.136036 0.328215
0.709805 0.181622 0.237044
0.731412 0.208973 0.182342
0.752822 0.254558 0.136756
0.774271 0.291027 0.109405
0.795641 0.345729 0.082054
0.817071 0.4369 0.0547025
0.838234 0.564539 0.0273512
0.860008 0.737764 0
0.881438 0.819818 0
0.902966 0.865403 0
0.924652 0.892754 0
0.949436 0.892754 0
1 0.892754 0.00911708

Label: d
Points: 64
Width: 0.187708
Duration: 659.805
Centroid: 0.525313 0.545625
0 0.636792 1
0.0056243 0.636792 0.991121
0.0189568 0.636792 0.973363
0.0318039 0.636792 0.937847
0.0447931 0.632353 0.893452
0.0575336 0.614595 0.82242
0.070949 0.605716 0.764706
0.0835356 0.605716 0.680355
0.0966077 0.592397 0.591565
0.110082 0.579079 0.498335
0.123131 0.574639 0.436182
0.135682 0.5702 0.396227
0.148825 0.5702 0.374029
0.162039 0.5702 0.356271
0.175892 0.5702 0.347392
0.188822 0.5702 0.342953
0.201752 0.5702 0.338513
0.266461 0.5702 0.347392
0.27977 0.5702 0.36959
0.292511 0.574639 0.391787
0.305547 0.574639 0.418424
0.31875 0.574639 0.436182
0.331999 0.574639 0.462819
0.345083 0.56576 0.498335
0.358428 0.556881 0.524973
0.371002 0.539123 0.55161
0.384145 0.521365 0.569368
0.397277 0.508046 0.582686
0.410562 0.485849 0.596005
0.423811 0.463651 0.604884
0.437073 0.441454 0.609323
0.450015 0.423696 0.609323
0.463075 0.401498 0.609323
0.476206 0.38374 0.604884
0.489231 0.370422 0.596005
0.502717 0.348224 0.582686
0.516097 0.326027 0.55161
0.529335 0.308269 0.516094
0.541803 0.29939 0.489456
0.554994 0.29495 0.467259
0.567474 0.29495 0.45394
0.579989 0.29495 0.436182
0.593393 0.29939 0.427303
0.606264 0.308269 0.409545
0.619111 0.321587 0.400666
0.631899 0.343785 0.391787
0.644793 0.374861 0.387348
0.657912 0.397059 0.378469
0.67102 0.419256 0.374029
0.68369 0.441454 0.374029
0.696821 0.47253 0.36959
0.710236 0.494728 0.36959
0.723202 0.521365 0.36959
0.736226 0.534684 0.36959
0.74963 0.534684 0.374029
0.763057 0.539123 0.374029
0.793677 0.539123 0.374029
0.807661 0.548002 0.374029
0.82007 0.56576 0.374029
0.833118 0.574639 0.374029
0.845918 0.579079 0.374029
0.858872 0.583518 0.374029
0.969688 0.583518 0.378469
1 0.583518 0.382908

Label: e
Points: 58
Width: 0.0661206
Duration: 525.328
Centroid: 0.543075 0.482787
0 0.149066 0.604955
0.0833556 0.149066 0.592352
0.0992088 0.149066 0.579749
0.115359 0.186875 0.554542
0.131584 0.212082 0.541939
0.147423 0.249891 0.516733
0.163945 0.300304 0.491526
0.179888 0.36332 0.46632
0.196722 0.451543 0.453716
0.21265 0.501956 0.441113
0.229663 0.564972 0.441113
0.245814 0.602782 0.441113
0.262455 0.640592 0.441113
0.278903 0.703608 0.441113
0.295485 0.741418 0.453716
0.311799 0.779227 0.453716
0.327965 0.804434 0.453716
0.344175 0.842243 0.491526
0.360162 0.854847 0.504129
0.376536 0.86745 0.516733
0.393043 0.880053 0.567145
0.409714 0.880053 0.604955
0.425642 0.880053 0.642765
0.442625 0.86745 0.680574
0.458939 0.842243 0.718384
0.475298 0.817037 0.768797
0.492371 0.804434 0.794003
0.508031 0.766624 0.831813
0.524523 0.691005 0.882226
0.541507 0.627989 0.894829
0.557464 0.51456 0.907432
0.573749 0.451543 0.920036
0.590211 0.413734 0.920036
0.606392 0.36332 0.920036
0.623003 0.300304 0.907432
0.638961 0.224685 0.882226
0.65584 0.174272 0.85702
0.672139 0.123859 0.794003
0.688573 0.0986526 0.743591
0.705169 0.0860494 0.705781
0.721781 0.0734462 0.642765
0.738021 0.0734462 0.579749
0.754915 0.0734462 0.46632
0.771155 0.0986526 0.378097
0.787529 0.123859 0.289874
0.803977 0.161669 0.201652
0.82044 0.212082 0.126032
0.836754 0.287701 0.0630161
0.853038 0.36332 0.0252064
0.869367 0.43894 0.0126032
0.885518 0.51456 0
0.902606 0.577576 0
0.919098 0.678401 0.0126032
0.936156 0.79183 0.0378097
0.952202 0.842243 0.0630161
0.96868 0.892657 0.0882226
0.98434 0.930466 0.0882226
1 0.94307 0.100826

Label: f
Points: 46
Width: 0.165109
Duration: 760.008
Centroid: 0.53971 0.665109
0 0.722954 0.741936
0.0895139 0.717907 0.741936
0.100934 0.71286 0.746983
0.111666 0.697718 0.767171
0.122984 0.682576 0.792407
0.133716 0.652293 0.812596
0.145136 0.62201 0.837832
0.156618 0.591727 0.852973
0.167998 0.581633 0.858021
0.179223 0.571538 0.858021
0.190376 0.561444 0.858021
0.201663 0.531161 0.842879
0.21295 0.500878 0.817643
0.224268 0.475642 0.792407
0.235729 0.455453 0.777266
0.247047 0.445359 0.757077
0.258642 0.435264 0.721747
0.269888 0.430217 0.676322
0.281278 0.42517 0.615756
0.292575 0.42517 0.55519
0.304088 0.42517 0.489576
0.315056 0.42517 0.42901
0.32621 0.435264 0.368444
0.337949 0.445359 0.32302
0.349205 0.450406 0.277595
0.360235 0.455453 0.227123
0.371614 0.455453 0.176651
0.3825 0.455453 0.141321
0.394147 0.450406 0.100944
0.40531 0.450406 0.0605661
0.416885 0.450406 0.0252359
0.428038 0.450406 0.0100944
0.439428 0.450406 0
0.816028 0.258613 0.398727
0.873696 0.26366 0.398727
0.885301 0.278802 0.398727
0.896537 0.309085 0.39368
0.907916 0.359557 0.388633
0.919357 0.435264 0.378539
0.930829 0.485736 0.373491
0.942147 0.546303 0.373491
0.953835 0.58668 0.368444
0.964875 0.601821 0.368444
0.976737 0.606869 0.368444
0.987737 0.611916 0.368444
1 0.616963 0.368444

Label: g
Points: 78
Width: 0.210577
Duration: 789.781
Centroid: 0.550299 0.55891
0 0.645713 0.708372
0.0451371 0.645713 0.712329
0.0604499 0.645713 0.716286
0.0711629 0.637798 0.716286
0.0819748 0.637798 0.724201
0.0927967 0.618011 0.728158
0.103391 0.578437 0.740031
0.114213 0.538863 0.751903
0.125104 0.49929 0.759818
0.13643 0.459716 0.759818
0.147628 0.435971 0.759818
0.158361 0.416185 0.759818
0.169311 0.404312 0.75586
0.180252 0.388483 0.751903
0.19137 0.380568 0.747945
0.202321 0.372653 0.743988
0.21341 0.360781 0.732116
0.224202 0.352866 0.720244
0.234855 0.344952 0.700457
0.245994 0.340994 0.68067
0.256717 0.337037 0.652968
0.268162 0.337037 0.637139
0.279251 0.344952 0.609437
0.290211 0.356824 0.585693
0.301092 0.372653 0.561949
0.312082 0.384526 0.554034
0.323428 0.396398 0.542161
0.33425 0.40827 0.538204
0.345102 0.424099 0.530289
0.355884 0.435971 0.530289
0.366528 0.443886 0.530289
0.377211 0.455758 0.534247
0.388033 0.475545 0.542161
0.398953 0.49929 0.550076
0.409726 0.523034 0.557991
0.420647 0.550736 0.565906
0.431468 0.582395 0.581735
0.442231 0.610096 0.593608
0.453142 0.618011 0.601522
0.464171 0.621969 0.609437
0.47523 0.629883 0.621309
0.485815 0.633841 0.633181
0.497082 0.641756 0.645054
0.508329 0.641756 0.652968
0.519467 0.641756 0.660883
0.530319 0.641756 0.668798
0.571934 0.641756 0.672755
0.622562 0.641756 0.676713
0.683437 0.641756 0.672755
0.694437 0.641756 0.656926
0.705189 0.641756 0.621309
0.716051 0.64967 0.581735
0.727031 0.657585 0.530289
0.73807 0.669457 0.474886
0.74911 0.669457 0.431355
0.760307 0.669457 0.383866
0.77108 0.669457 0.336378
0.781981 0.669457 0.277017
0.793 0.6655 0.233486
0.804109 0.6655 0.185997
0.81504 0.653628 0.142466
0.826297 0.645713 0.102892
0.837079 0.618011 0.0633181
0.848039 0.606139 0.0356164
0.858901 0.586352 0.0158295
0.869624 0.562608 0.00395738
0.88094 0.538863 0
0.892088 0.49929 0.00395738
0.902792 0.432014 0.0277017
0.913623 0.360781 0.0633181
0.92495 0.281634 0.118721
0.935425 0.218315 0.174125
0.946484 0.190614 0.213699
0.95695 0.182699 0.2414
0.967455 0.178742 0.25723
0.978257 0.178742 0.273059
0.988693 0.178742 0.280974
1 0.178742 0.284932

Label: h
Points: 54
Width: 0.255802
Duration: 480.531
Centroid: 0.46821 0.487531
0 0.337355 1
0.0243546 0.337355 0.996742
0.04284 0.337355 0.980454
0.0605612 0.34387 0.951134
0.0784126 0.34387 0.882722
0.0965565 0.353644 0.791506
0.114863 0.360159 0.710063
0.132503 0.366675 0.618847
0.150338 0.376448 0.530888
0.168238 0.386221 0.452703
0.185764 0.386221 0.374517
0.203713 0.389479 0.332167
0.222085 0.392736 0.306105
0.240099 0.392736 0.286559
0.258877 0.392736 0.283301
0.315959 0.392736 0.286559
0.333713 0.392736 0.293074
0.351369 0.392736 0.306105
0.368993 0.392736 0.322394
0.386958 0.389479 0.354971
0.404955 0.389479 0.394064
0.423295 0.389479 0.446187
0.441877 0.389479 0.501568
0.459583 0.392736 0.547177
0.477385 0.399252 0.583012
0.495659 0.409025 0.612331
0.513527 0.422056 0.635135
0.532028 0.44486 0.664455
0.549327 0.454633 0.674228
0.567146 0.464406 0.687259
0.584802 0.480695 0.693774
0.602588 0.506757 0.697032
0.620667 0.519787 0.697032
0.638893 0.526303 0.697032
0.656207 0.529561 0.697032
0.673522 0.539334 0.687259
0.692121 0.552365 0.654681
0.710054 0.584942 0.592785
0.727938 0.611004 0.514599
0.745984 0.637066 0.439672
0.763315 0.650096 0.387548
0.78102 0.666385 0.34194
0.799148 0.6729 0.322394
0.81726 0.679416 0.309363
0.835143 0.685931 0.29959
0.851938 0.692447 0.286559
0.869041 0.70222 0.267013
0.887072 0.711993 0.250724
0.904289 0.725024 0.234435
0.922709 0.734797 0.224662
0.940024 0.741313 0.221404
0.957843 0.74457 0.221404
0.981498 0.74457 0.224662
1 0.747828 0.231178

Label: i
Points: 21
Width: 0.209921
Duration: 559.984
Centroid: 0.571667 0.438413
0 0.519849 0.734026
0.0425375 0.515879 0.730057
0.0581071 0.515879 0.714178
0.0733279 0.50794 0.694329
0.0893022 0.50794 0.658601
0.104676 0.5 0.606994
0.119562 0.5 0.559357
0.134728 0.49603 0.535539
0.150506 0.492061 0.507751
0.165574 0.488091 0.472023
0.180753 0.488091 0.440265
0.196239 0.492061 0.404537
0.211557 0.49603 0.376749
0.226401 0.49603 0.341021
0.242166 0.49603 0.321172
0.258085 0.49603 0.305293
0.273334 0.49603 0.281475
0.28868 0.49603 0.273535
0.304822 0.49603 0.269565
0.363459 0.49603 0.273535
1 0.50794 1

Label: j
Points: 30
Width: 0.231222
Duration: 580.102
Centroid: 0.595445 0.498778
0 0.560307 0.77655
0.0686033 0.560307 0.772946
0.0832424 0.560307 0.769342
0.0978412 0.560307 0.758529
0.112494 0.560307 0.736905
0.127443 0.560307 0.711677
0.142284 0.560307 0.682845
0.157475 0.560307 0.646804
0.172343 0.553099 0.603556
0.187427 0.553099 0.567515
0.202214 0.553099 0.542287
0.216988 0.553099 0.513455
0.232449 0.549495 0.488227
0.247384 0.538683 0.444978
0.262171 0.531475 0.408938
0.277443 0.520663 0.376501
0.292109 0.506247 0.354877
0.307004 0.488227 0.333253
0.321711 0.477415 0.322441
0.336673 0.459394 0.315233
0.351353 0.452186 0.311629
0.366585 0.434166 0.311629
0.381372 0.416146 0.311629
0.396105 0.40173 0.315233
0.411472 0.394522 0.318837
0.426555 0.387314 0.322441
0.441033 0.387314 0.322441
0.537729 0.387314 0.326045
0.55284 0.38371 0.333253
1 0.58914 1

Label: k
Points: 65
Width: 0.186821
Duration: 874.18
Centroid: 0.534846 0.588282
0 0.33983 0.892671
0.0549176 0.33983 0.88821
0.0645337 0.34429 0.88375
0.0741231 0.34429 0.870368
0.0839716 0.348751 0.852525
0.0938559 0.348751 0.830222
0.103865 0.348751 0.803459
0.113803 0.348751 0.763313
0.123947 0.348751 0.700864
0.133509 0.348751 0.651798
0.143331 0.34429 0.567046
