Label: b
Points: 36
Width: 0.263935
Duration: 309.764
Centroid: 0.443472 0.542732
0 0.322926 1
0.0511695 0.326083 0.996843
0.0800481 0.332398 0.958955
0.10725 0.34187 0.870549
0.134825 0.351342 0.778986
0.162796 0.354499 0.665322
0.191254 0.367129 0.573759
0.218833 0.373443 0.504297
0.247629 0.379758 0.456937
0.276467 0.379758 0.450623
0.304632 0.382915 0.450623
0.335325 0.386073 0.450623
0.362849 0.405017 0.494825
0.390018 0.430275 0.557972
0.417589 0.480793 0.602175
0.445037 0.550254 0.624276
0.473076 0.610244 0.630591
0.500073 0.654447 0.627434
0.528583 0.689177 0.60849
0.55723 0.714436 0.564287
0.584319 0.720751 0.479039
0.612318 0.723908 0.403262
0.640231 0.714436 0.318014
0.667195 0.698649 0.283284
0.695822 0.676548 0.270654
0.722712 0.63866 0.267497
0.750483 0.610244 0.267497
0.777865 0.575513 0.276969
0.805378 0.53131 0.29907
0.83313 0.512366 0.305385
0.860157 0.477635 0.318014
0.887928 0.461849 0.324329
0.916582 0.458691 0.327486
0.945512 0.455534 0.327486
0.972221 0.455534 0.330644
1 0.455534 0.333801

Label: b
Points: 29
Width: 0.268621
Duration: 256.104
Centroid: 0.489425 0.471379
0 0.401797 1
0.0456786 0.401797 0.996898
0.0809415 0.401797 0.956568
0.115284 0.398695 0.925546
0.148414 0.395593 0.804557
0.181123 0.39249 0.627728
0.215812 0.39249 0.497433
0.248987 0.39249 0.419876
0.283656 0.39249 0.391956
0.358165 0.395593 0.395058
0.392885 0.401797 0.422978
0.426312 0.414206 0.469512
0.459904 0.435922 0.506739
0.494322 0.470047 0.537762
0.528581 0.516581 0.550171
0.561281 0.56932 0.550171
0.596079 0.600342 0.537762
0.62935 0.631365 0.500535
0.662796 0.646876 0.435387
0.696647 0.649979 0.354728
0.731024 0.649979 0.311297
0.764202 0.640672 0.283376
0.79859 0.622058 0.270967
0.832034 0.59724 0.270967
0.865598 0.578627 0.274069
0.89971 0.556911 0.286479
0.934299 0.532092 0.298888
0.965258 0.516581 0.308194
1 0.504172 0.314399

Label: b
Points: 33
Width: 0.239899
Duration: 280.772
Centroid: 0.493485 0.506768
0 0.412842 1
0.0278346 0.412842 0.993053
0.0592831 0.409369 0.937474
0.0900785 0.409369 0.847158
0.120484 0.412842 0.763789
0.151329 0.405895 0.663053
0.180524 0.395474 0.579684
0.211227 0.392 0.482421
0.242133 0.392 0.419895
0.272205 0.392 0.406
0.302413 0.392 0.399053
0.35537 0.395474 0.402526
0.387108 0.405895 0.433789
0.418336 0.437158 0.499789
0.449245 0.464947 0.551895
0.478392 0.496211 0.586632
0.50894 0.534421 0.600526
0.539319 0.586527 0.604
0.569165 0.614316 0.579684
0.600607 0.642105 0.534526
0.630433 0.687263 0.447684
0.660901 0.701158 0.371263
0.690719 0.704632 0.312211
0.721666 0.704632 0.284421
0.752962 0.694211 0.277474
0.783333 0.656 0.274
0.813673 0.593474 0.280947
0.84396 0.548316 0.294842
0.874689 0.503158 0.312211
0.905537 0.458 0.329579
0.936894 0.423263 0.34
0.967944 0.412842 0.343474
1 0.409369 0.346947

Label: b
Points: 31
Width: 0.275161
Duration: 283.882
Centroid: 0.522742 0.519839
0 0.42839 1
0.0833691 0.42839 0.993943
0.114169 0.42839 0.966686
0.143186 0.431419 0.890973
0.173222 0.431419 0.775889
0.202989 0.431419 0.645662
0.233965 0.434447 0.509379
0.26451 0.437476 0.42458
0.296111 0.437476 0.367038
0.326539 0.437476 0.339781
0.355237 0.437476 0.330696
0.422052 0.437476 0.333724
0.453078 0.440504 0.376123
0.48318 0.44959 0.433665
0.513604 0.467761 0.476065
0.544062 0.491989 0.512407
0.575082 0.519246 0.533607
0.604882 0.546503 0.539664
0.635843 0.570731 0.533607
0.665863 0.597988 0.503322
0.695953 0.625244 0.460922
0.726492 0.63433 0.409437
0.757456 0.637358 0.370066
0.787067 0.637358 0.357952
0.816369 0.616159 0.348867
0.84831 0.585873 0.345838
0.878447 0.540446 0.34281
0.908233 0.507132 0.34281
0.939353 0.485932 0.34281
0.970253 0.476846 0.345838
1 0.467761 0.345838

Label: b
Points: 31
Width: 0.260591
Duration: 264.605
Centroid: 0.490968 0.517742
0 0.39901 1
0.0443468 0.39901 0.993604
0.077963 0.402208 0.952032
0.110179 0.405405 0.872086
0.142717 0.418197 0.740974
0.175547 0.424593 0.574685
0.208793 0.424593 0.43398
0.241132 0.424593 0.347638
0.274381 0.424593 0.322055
0.307656 0.424593 0.318857
0.346874 0.427791 0.331648
0.380406 0.434186 0.379616
0.413363 0.440582 0.456365
0.444143 0.453373 0.50753
0.476765 0.475758 0.549102
0.509907 0.504539 0.571488
0.543041 0.53332 0.577883
0.575702 0.558903 0.577883
0.608153 0.590881 0.5523
0.639729 0.62286 0.513926
0.671441 0.664432 0.440376
0.704143 0.677223 0.38921
0.737178 0.677223 0.350836
0.769625 0.66763 0.338044
0.803412 0.645245 0.328451
0.835678 0.613266 0.325253
0.868148 0.571694 0.325253
0.901292 0.510935 0.341242
0.93455 0.456571 0.354033
0.966936 0.424593 0.363627
1 0.402208 0.370023

Label: b
Points: 31
Width: 0.27371
Duration: 262.835
Centroid: 0.493656 0.569624
0 0.447653 1
0.0291945 0.447653 0.993911
0.0632043 0.447653 0.969554
0.0956406 0.447653 0.936064
0.127986 0.450697 0.884306
0.159952 0.450697 0.771656
0.193241 0.450697 0.710764
0.225904 0.450697 0.59507
0.25975 0.441564 0.455018
0.29212 0.438519 0.36977
0.324651 0.43243 0.339324
0.357685 0.43243 0.333235
0.409866 0.43243 0.33628
0.443565 0.435474 0.36977
0.475758 0.447653 0.448929
0.508284 0.46592 0.488509
0.540185 0.487232 0.506777
0.572664 0.523767 0.518955
0.605903 0.548124 0.518955
0.63755 0.584659 0.488509
0.67145 0.609016 0.436751
0.703949 0.636417 0.378904
0.736651 0.648596 0.33628
0.768878 0.65164 0.293655
0.8022 0.648596 0.275388
0.835595 0.630328 0.269299
0.869045 0.581615 0.269299
0.901467 0.517678 0.278432
0.93415 0.46592 0.2967
0.967391 0.429385 0.311923
1 0.417207 0.318012

Label: b
Points: 32
Width: 0.296042
Duration: 275.772
Centroid: 0.480729 0.573958
0 0.417136 1
0.0276603 0.417136 0.997185
0.0586404 0.417136 0.977481
0.0893922 0.419951 0.929627
0.120772 0.419951 0.864884
0.151005 0.425581 0.771992
0.181911 0.428396 0.63969
0.213353 0.43684 0.535538
0.245952 0.43684 0.456721
0.277658 0.43684 0.377903
0.308596 0.43684 0.344124
0.339687 0.43684 0.332864
0.405671 0.43684 0.335679
0.437187 0.44247 0.369458
0.468293 0.456545 0.420127
0.49907 0.470619 0.482055
0.529857 0.490324 0.521464
0.561773 0.512843 0.532723
0.594021 0.543807 0.541168
0.62619 0.583216 0.535538
0.657104 0.602921 0.518649
0.689322 0.61418 0.48487
0.720748 0.61981 0.434201
0.750317 0.622625 0.389163
0.782399 0.616995 0.332864
0.813744 0.602921 0.29627
0.844561 0.586031 0.276566
0.875663 0.571956 0.268121
0.90676 0.552252 0.256861
0.937997 0.529733 0.256861
0.969808 0.512843 0.256861
1 0.501583 0.262491

Label: b
Points: 32
Width: 0.266458
Duration: 271.484
Centroid: 0.459375 0.550208
0 0.416732 1
0.0285791 0.416732 0.996873
0.0617446 0.416732 0.968726
0.0928525 0.413604 0.871775
0.124509 0.407349 0.727912
0.156631 0.407349 0.58405
0.188842 0.407349 0.493354
0.220396 0.407349 0.402658
0.253106 0.410477 0.355747
0.284712 0.410477 0.330727
0.31741 0.410477 0.318217
0.367998 0.410477 0.324472
0.400558 0.413604 0.358874
0.432126 0.416732 0.452697
0.465056 0.419859 0.487099
0.496896 0.438624 0.57154
0.527752 0.466771 0.615324
0.559255 0.5043 0.634089
0.592081 0.544957 0.640344
0.623678 0.604378 0.615324
0.655525 0.65129 0.57154
0.687257 0.695074 0.508991
0.717619 0.716966 0.433933
0.74825 0.723221 0.362001
0.779673 0.716966 0.321345
0.81129 0.682565 0.293198
0.842719 0.635653 0.283815
0.873469 0.566849 0.283815
0.905311 0.510555 0.286943
