Label: 5
Points: 87
0 251 444
0.01 251 444
0.02 251 444
0.03 249 443
0.04 247 440
0.05 247 437
0.06 243 433
0.07 237 426
0.08 232 423
0.09 227 421
0.1 220 419
0.11 215 416
0.12 208 415
0.13 200 415
0.14 193 415
0.15 180 416
0.16 176 417
0.17 171 417
0.18 167 420
0.19 158 422
0.2 149 423
0.21 147 423
0.22 144 425
0.23 143 425
0.24 141 425
0.25 141 423
0.26 138 423
0.27 136 423
0.28 135 423
0.29 135 421
0.3 135 419
0.31 133 416
0.32 133 413
0.33 133 410
0.34 133 407
0.35 133 401
0.36 131 396
0.37 129 389
0.38 129 383
0.39 129 376
0.4 127 370
0.41 127 365
0.42 127 361
0.43 127 357
0.44 129 352
0.45 130 349
0.46 134 345
0.47 134 345
0.48 136 345
0.49 138 345
0.5 141 345
0.51 147 345
0.52 154 346
0.53 161 349
0.54 173 355
0.55 179 357
0.56 183 359
0.57 189 359
0.58 201 359
0.59 207 359
0.6 214 356
0.61 220 354
0.62 227 349
0.63 237 341
0.64 244 334
0.65 251 324
0.66 258 310
0.67 260 303
0.68 260 297
0.69 260 286
0.7 258 280
0.71 255 275
0.72 249 269
0.73 235 262
0.74 226 259
0.75 216 256
0.76 207 256
0.77 189 256
0.78 180 256
0.79 174 258
0.8 167 259
0.81 160 263
0.82 157 263
0.83 155 265
0.84 154 265
0.85 152 265
0.86 152 266

Label: C
Points: 56
0 175 432
0.01 176 432
0.02 174 431
0.03 174 430
0.04 174 428
0.05 176 427
0.06 176 426
0.07 177 425
0.08 177 422
0.09 181 420
0.1 183 419
0.11 183 417
0.12 183 417
0.13 183 417
0.14 183 417
0.15 184 417
0.16 184 417
0.17 186 417
0.18 186 419
0.19 185 420
0.2 186 422
0.21 182 425
0.22 175 432
0.23 167 438
0.24 142 449
0.25 129 453
0.26 116 455
0.27 105 455
0.28 95 454
0.29 85 448
0.3 76 440
0.31 69 430
0.32 57 405
0.33 52 392
0.34 49 379
0.35 48 366
0.36 52 343
0.37 56 332
0.38 62 323
0.39 68 314
0.4 85 302
0.41 95 298
0.42 106 296
0.43 118 296
0.44 139 296
0.45 151 297
0.46 163 297
0.47 173 296
0.48 183 294
0.49 192 292
0.5 197 291
0.51 203 291
0.52 206 291
0.53 206 291
0.54 206 291
0.55 204 291

Label: o
Points: 46
0 180 439
0.01 182 438
0.02 185 436
0.03 188 433
0.04 200 420
0.05 205 411
0.06 211 399
0.07 219 384
0.08 233 352
0.09 239 336
0.1 243 320
0.11 244 305
0.12 244 281
0.13 241 272
0.14 238 264
0.15 232 257
0.16 215 249
0.17 205 247
0.18 195 247
0.19 183 247
0.2 171 251
0.21 156 258
0.22 143 263
0.23 133 271
0.24 124 276
0.25 119 283
0.26 115 291
0.27 112 300
0.28 112 309
0.29 112 318
0.3 112 328
0.31 115 337
0.32 119 356
0.33 122 365
0.34 125 373
0.35 129 379
0.36 134 386
0.37 137 391
0.38 143 394
0.39 147 398
0.4 152 401
0.41 159 401
0.42 164 404
0.43 169 404
0.44 175 409
0.45 177 410

Label: f
Points: 45
0 199 473
0.01 195 477
0.02 188 481
0.03 182 482
0.04 171 484
0.05 166 484
0.06 161 484
0.07 157 485
0.08 153 482
0.09 150 480
0.1 144 475
0.11 140 469
0.12 126 458
0.13 122 451
0.14 117 443
0.15 113 433
0.16 109 411
0.17 109 400
0.18 109 389
0.19 111 378
0.2 115 356
0.21 118 344
0.22 122 334
0.23 124 324
0.24 127 314
0.25 128 303
0.26 128 292
0.27 131 281
0.28 131 264
0.29 131 258
0.3 129 252
0.31 129 248
0.32 127 243
0.33 127 238
0.34 126 235
0.35 123 232
0.36 123 227
0.37 121 226
0.38 121 226
0.39 121 225
0.4 121 225
0.41 121 225
0.42 122 225
0.43 122 227
0.44 120 230

Label: H
Points: 44
0 130 548
0.01 130 547
0.02 130 543
0.03 128 537
0.04 128 526
0.05 124 507
0.06 120 485
0.07 118 461
0.08 111 418
0.09 108 401
0.1 105 384
0.11 103 368
0.12 102 340
0.13 102 328
0.14 102 316
0.15 102 304
0.16 105 287
0.17 105 280
0.18 108 275
0.19 108 271
0.2 109 268
0.21 111 268
0.22 111 267
0.23 114 268
0.24 190 496
0.25 190 492
0.26 190 486
0.27 191 476
0.28 191 464
0.29 194 446
0.3 194 426
0.31 194 407
0.32 194 388
0.33 196 369
0.34 196 353
0.35 196 336
0.36 196 312
0.37 196 302
0.38 196 294
0.39 196 287
0.4 196 281
0.41 196 275
0.42 199 273
0.43 203 268

Label: q
Points: 75
0 184 308
0.01 184 311
0.02 182 315
0.03 180 319
0.04 169 328
0.05 162 331
0.06 153 335
0.07 143 339
0.08 122 342
0.09 111 342
0.1 101 342
0.11 92 339
0.12 85 337
0.13 76 331
0.14 69 324
0.15 64 318
0.16 59 309
0.17 55 300
0.18 55 291
0.19 55 282
0.2 57 273
0.21 63 266
0.22 67 261
0.23 74 255
0.24 80 252
0.25 90 250
0.26 99 248
0.27 110 248
0.28 129 247
0.29 136 248
0.3 143 249
0.31 150 251
0.32 159 255
0.33 161 257
0.34 164 259
0.35 165 262
0.36 168 263
0.37 171 265
0.38 171 267
0.39 174 269
0.4 174 272
0.41 174 274
0.42 174 274
0.43 174 275
0.44 174 275
0.45 174 275
0.46 174 275
0.47 174 275
0.48 172 273
0.49 174 266
0.5 174 259
0.51 176 247
0.52 177 219
0.53 177 204
0.54 177 190
0.55 176 175
0.56 172 149
0.57 172 137
0.58 170 125
0.59 170 115
0.6 167 97
0.61 165 89
0.62 165 83
0.63 163 77
0.64 163 69
0.65 162 66
0.66 162 66
0.67 162 64
0.68 162 64
0.69 162 66
0.7 162 66
0.71 162 67
0.72 162 69
0.73 160 70
0.74 160 70

Label: x
Points: 27
0 153 342
0.01 153 343
0.02 152 343
0.03 151 343
0.04 151 342
0.05 151 342
0.06 151 342
0.07 152 340
0.08 154 329
0.09 157 319
0.1 160 306
0.11 164 293
0.12 169 279
0.13 178 264
0.14 188 251
0.15 196 239
0.16 204 229
0.17 212 220
0.18 216 213
0.19 220 206
0.2 225 201
0.21 225 198
0.22 228 194
0.23 230 191
0.24 232 186
0.25 233 183
0.26 235 180

Label: w
Points: 107
0 105 460
0.01 105 461
0.02 103 461
0.03 103 463
0.04 103 463
0.05 103 465
0.06 103 465
0.07 101 465
0.08 101 466
0.09 100 466
0.1 100 466
0.11 99 466
0.12 99 466
0.13 99 468
0.14 97 469
0.15 97 470
0.16 96 470
0.17 97 470
0.18 97 469
0.19 97 469
0.2 97 469
0.21 97 469
0.22 97 469
0.23 97 469
0.24 97 470
0.25 97 470
0.26 97 468
0.27 97 468
0.28 99 465
0.29 99 462
0.3 99 459
0.31 101 451
0.32 102 443
0.33 104 435
0.34 106 423
0.35 110 411
0.36 114 398
0.37 118 386
0.38 128 365
0.39 132 356
0.4 136 349
0.41 139 342
0.42 145 330
0.43 148 324
0.44 152 319
0.45 154 315
0.46 156 312
0.47 158 309
0.48 161 307
0.49 163 305
0.5 166 304
0.51 167 304
0.52 169 306
0.53 171 308
0.54 175 314
0.55 178 318
0.56 180 323
0.57 182 327
0.58 185 337
0.59 185 340
0.6 185 343
0.61 185 345
0.62 187 348
0.63 187 348
0.64 189 348
0.65 189 346
0.66 195 338
0.67 198 331
0.68 204 325
0.69 207 320
0.7 215 310
0.71 219 305
0.72 223 301
0.73 226 297
0.74 235 292
0.75 239 291
0.76 243 291
0.77 247 291
0.78 255 291
0.79 257 291
0.8 261 293
0.81 263 295
0.82 266 297
0.83 269 300
0.84 271 304
0.85 274 309
0.86 274 316
0.87 276 325
0.88 277 334
0.89 277 347
0.9 277 371
0.91 275 383
0.92 275 393
0.93 275 403
0.94 272 412
0.95 272 420
0.96 272 427
0.97 274 438
0.98 274 441
0.99 277 445
1.0 277 449
1.01 277 453
1.02 277 458
1.03 275 462
1.04 275 468
1.05 275 470
1.06 275 473

Label: k
Points: 27
0 131 413
0.01 131 415
0.02 131 415
0.03 131 415
0.04 130 415
0.05 130 409
0.06 130 402
0.07 128 391
0.08 130 377
0.09 129 360
0.1 128 344
0.11 128 327
0.12 125 312
0.13 125 297
0.14 122 281
0.15 122 265
0.16 118 241
0.17 117 232
0.18 117 224
0.19 117 217
0.2 116 211
0.21 116 205
0.22 116 203
0.23 114 201
0.24 114 202
0.25 116 202
0.26 116 204

Label: F
Points: 65
0 247 430
0.01 247 430
0.02 249 430
0.03 249 428
0.04 249 428
0.05 249 428
0.06 249 427
0.07 249 427
0.08 242 423
0.09 238 422
0.1 234 419
0.11 228 417
0.12 220 416
0.13 212 414
0.14 200 412
0.15 191 410
0.16 181 408
0.17 171 408
0.18 163 408
0.19 156 406
0.2 147 406
0.21 139 406
0.22 134 408
0.23 129 411
0.24 127 411
0.25 125 413
0.26 124 415
0.27 121 415
0.28 118 420
0.29 118 420
0.3 118 421
0.31 118 420
0.32 118 420
0.33 118 419
0.34 118 417
0.35 119 415
0.36 119 412
0.37 119 407
0.38 121 402
0.39 121 394
0.4 123 383
0.41 124 371
0.42 127 358
0.43 129 343
0.44 129 317
0.45 129 305
