Points: 33
Width: 0.0442424
Duration: 6.93351e+11
Centroid: 0.057197 0.907008
1 0.475171 0.929366
1 0.461044 0.971747
1 0.446918 0.985873
1 0.446918 1
1 0.446918 1
1 0.446918 1
1 0.446918 1
1 0.446918 1
1 0.446918 0.971747
1 0.461044 0.858733
1 0.461044 0.703339
1 0.461044 0.505565
1 0.446918 0.307791
1 0.446918 0.208905
1 0.446918 0.095891
1 0.489298 0.0535105
1 0.559931 0.0393835
1 0.644692 0.0676369
1 0.701199 0.095891
1 0.743579 0.124144
1 0.743579 0.124144
0 0.390411 0.336044
5.74384e-12 0.319777 0.307791
1.15778e-11 0.291524 0.307791
2.01096e-11 0.277397 0.307791
2.90214e-11 0.277397 0.307791
4.16319e-11 0.291524 0.307791
5.32696e-11 0.362158 0.307791
6.52318e-11 0.489298 0.321918
7.72026e-11 0.630565 0.392551
8.95059e-11 0.785959 0.491438
1.01213e-10 0.856592 0.533818
1.13854e-10 0.856592 0.533818

Points: 20
Width: 0.042625
Duration: 150.099
Centroid: 0.1855 0.908625
0 0.200879 0.956011
0.0256761 0.215542 1
0.0655565 0.215542 1
0.114657 0.200879 0.970674
0.166806 0.215542 0.794721
0.225161 0.25953 0.560117
0.277706 0.274193 0.457477
0.33694 0.303519 0.296187
0.390018 0.347507 0.222873
0.444672 0.391495 0.20821
0.501687 0.435484 0.237536
0.557397 0.508798 0.3695
0.613146 0.611437 0.501465
0.666035 0.684751 0.545454
0.724196 0.758065 0.501465
0.780349 0.78739 0.457477
0.83325 0.831379 0.340175
0.888853 0.89003 0.222873
0.944836 0.934018 0.178885
1 0.934018 0.178885

Points: 19
Width: 0.0371053
Duration: 157.248
Centroid: 0.311776 0.922105
0 0.526596 0.336879
0.0247283 0.526596 0.370567
0.049603 0.526596 0.370567
0.0978292 0.526596 0.370567
0.148552 0.526596 0.336879
0.20143 0.526596 0.235816
0.258203 0.526596 0.117908
0.309001 0.526596 0.0336879
0.360922 0.54344 0
0.4156 0.560284 0
0.468698 0.560284 0
0.686531 0.492908 0.926417
0.711307 0.476064 0.943261
0.749381 0.45922 0.926417
0.784927 0.442376 0.926417
0.838348 0.442376 0.909573
0.890597 0.425532 0.909573
0.944744 0.442376 0.892729
1 0.442376 0.892729

Points: 23
Width: 0.02875
Duration: 169.749
Centroid: 0.434402 0.90125
0 0.727788 0.891304
0.0342507 0.706049 0.956522
0.0578149 0.66257 0.956522
0.0807517 0.640831 0.956522
0.117138 0.597353 0.97826
0.164228 0.488658 0.97826
0.216661 0.42344 0.956522
0.267068 0.293006 0.847826
0.314267 0.16257 0.695652
0.364397 0.140831 0.630435
0.41101 0.140831 0.543478
0.462842 0.271266 0.5
0.510934 0.488658 0.456522
0.55788 0.684309 0.391304
0.607594 0.771266 0.326087
0.657821 0.836484 0.239131
0.705024 0.836484 0.130435
0.754343 0.706049 0.0217386
0.805813 0.597353 0
0.85508 0.42344 0
0.903157 0.314745 0
0.954374 0.293006 0.0217386
1 0.293006 0.0217386

Points: 0
Width: 0
Duration: 3.37674
Centroid: 0 0

Points: 20
Width: 0.0428751
Duration: 450.6
Centroid: 0.66875 0.917875
0.834642 0.441691 0.379008
0.847478 0.456269 0.393585
0.856008 0.456269 0.393585
0.871352 0.456269 0.393585
0.889424 0.456269 0.379008
0.909433 0.456269 0.233235
0.927046 0.456269 0.16035
0.945366 0.456269 0.0583088
0.963409 0.470846 0.0291544
0.981182 0.529154 0
1 0.529154 0
0 0.543732 0.816324
0.00862626 0.543732 0.845479
0.0176753 0.543732 0.845479
0.030668 0.543732 0.845479
0.0394529 0.543732 0.845479
0.0571982 0.529154 0.845479
0.075587 0.529154 0.845479
0.0933822 0.529154 0.845479
0.112898 0.529154 0.845479

Points: 23
Width: 0.0406521
Duration: 170.138
Centroid: 0.807772 0.899402
0 0.711898 0.691847
0.0355271 0.711898 0.737969
0.0593077 0.696524 0.753344
0.0826475 0.665775 0.784093
0.117792 0.635027 0.799467
0.165527 0.604278 0.830215
0.217776 0.54278 0.84559
0.264232 0.465908 0.830215
0.315061 0.404411 0.784093
0.364101 0.404411 0.737969
0.410918 0.404411 0.676472
0.459681 0.450534 0.614975
0.507366 0.527406 0.553477
0.558513 0.604278 0.49198
0.6098 0.635027 0.445856
0.657223 0.665775 0.35361
0.707174 0.650401 0.230616
0.754391 0.54278 0.107621
0.802329 0.465908 0.0461234
0.853825 0.29679 0
0.899749 0.158421 0.0307487
0.950314 0.127672 0.0768721
1 0.127672 0.0768721

Points: 0
Width: 0
Duration: 3.66003
Centroid: 0 0

Points: 25
Width: 0.0294999
Duration: 190.749
Centroid: 0.055 0.74575
0 0.648305 0.826272
0.0516989 0.605933 0.847459
0.0726138 0.584746 0.868645
0.104606 0.584746 0.911018
0.124984 0.56356 0.932205
0.167797 0.521187 0.974578
0.212486 0.5 0.995764
0.256683 0.351695 0.995764
0.299255 0.266949 0.783899
0.344696 0.224576 0.635594
0.387166 0.182203 0.338984
0.432537 0.182203 0.148306
0.474647 0.224576 0.105932
0.5207 0.288135 0.105932
0.564703 0.415254 0.254238
0.607665 0.521187 0.466102
0.650362 0.56356 0.593222
0.693907 0.56356 0.614408
0.738352 0.56356 0.529662
0.782025 0.584746 0.317797
0.825139 0.627119 0.148306
0.870935 0.648305 0.0847458
0.914057 0.733051 0.021186
0.958138 0.775424 0
1 0.775424 0

Points: 0
Width: 0
Duration: 3.61842
Centroid: 0 0

Points: 23
Width: 0.0422826
Duration: 222.089
Centroid: 0.299946 0.751467
0 0.471079 0.970437
0.02628 0.485861 1
0.0445925 0.485861 1
0.0619729 0.485861 0.940874
0.0987194 0.485861 0.881748
0.137472 0.485861 0.793059
0.174063 0.471079 0.467866
0.212205 0.471079 0.364396
0.248729 0.485861 0.187018
0.28521 0.544987 0.0835471
0.323839 0.57455 0.0539842
0.360326 0.707583 0.0539842
0.398674 0.751928 0.0983283
0.437608 0.751928 0.0983283
0.747306 0.27892 0.497429
0.764565 0.27892 0.467866
0.782747 0.27892 0.453085
0.810943 0.293701 0.453085
0.85009 0.323264 0.453085
0.887856 0.352827 0.453085
0.9241 0.559768 0.526992
0.960759 0.737146 0.6009
1 0.737146 0.6009

Points: 21
Width: 0.0258929
Duration: 151.319
Centroid: 0.435774 0.739643
0 0.364368 0.627585
0.0389211 0.364368 0.531034
0.0650876 0.34023 0.531034
0.091806 0.34023 0.531034
0.131196 0.364368 0.531034
0.171089 0.436782 0.555171
0.226743 0.485057 0.579309
0.282275 0.605747 0.699998
0.338371 0.67816 0.844826
0.392538 0.702298 0.965515
0.449904 0.605747 0.989653
0.502382 0.533333 0.965515
0.557114 0.364368 0.79655
0.612673 0.21954 0.555171
0.66599 0.195403 0.289654
0.722596 0.195403 0.168964
0.777986 0.34023 0.0241384
0.832648 0.581609 0
0.889991 0.847126 0.072413
0.943348 0.967815 0.12069
1 0.967815 0.12069

Points: 21
Width: 0.0372024
Duration: 154.169
Centroid: 0.554643 0.735952
0 0.605598 0.806401
0.0384417 0.605598 0.8568
0.0644422 0.571998 0.8736
0.0904818 0.521598 0.8736
0.130668 0.487998 0.8904
0.185627 0.437599 0.8904
0.243285 0.353598 0.840001
