Points: 32
Width: 0.299635
Duration: 517.669
Centroid: 0.483385 0.542031
0 0.458196 1
0.00757155 0.458196 0.994438
0.0246634 0.458196 0.963845
0.0408919 0.458196 0.899878
0.0572124 0.458196 0.791413
0.0741623 0.458196 0.705197
0.0912322 0.458196 0.599513
0.108006 0.458196 0.491048
0.124932 0.458196 0.390926
0.141315 0.458196 0.307492
0.157904 0.477664 0.243525
0.174634 0.49157 0.20737
0.191596 0.513819 0.18234
0.208262 0.533287 0.173996
0.22532 0.552755 0.171215
0.241803 0.566661 0.18234
0.25841 0.583348 0.204589
0.275289 0.594473 0.2324
0.29205 0.602816 0.257431
0.309336 0.608378 0.27968
0.326301 0.611159 0.299148
0.343253 0.613941 0.310273
0.359628 0.613941 0.315835
0.844354 0.349731 0.644012
0.8827 0.352512 0.644012
0.899809 0.380323 0.644012
0.916325 0.422041 0.644012
0.932858 0.452633 0.644012
0.949614 0.497132 0.644012
0.966634 0.5166 0.644012
0.98284 0.538849 0.644012
1 0.544412 0.644012

Points: 34
Width: 0.287941
Duration: 319.19
Centroid: 0.431618 0.548726
0 0.424838 0.997106
0.00829431 0.421944 1
0.13728 0.421944 0.997106
0.165229 0.421944 0.976847
0.191215 0.421944 0.93633
0.219076 0.421944 0.832142
0.245843 0.421944 0.701907
0.271272 0.421944 0.580354
0.298548 0.421944 0.447225
0.325196 0.421944 0.360401
0.352904 0.421944 0.31699
0.379535 0.421944 0.279366
0.406422 0.421944 0.262002
0.434255 0.421944 0.259108
0.462227 0.421944 0.256214
0.513296 0.421944 0.259108
0.540615 0.421944 0.279366
0.567424 0.421944 0.319884
0.594323 0.430626 0.363296
0.62166 0.456673 0.406707
0.648982 0.488509 0.455907
0.67595 0.51745 0.484848
0.702412 0.549285 0.510895
0.72905 0.578226 0.519578
0.75579 0.601379 0.522472
0.782931 0.615849 0.522472
0.810133 0.624532 0.510895
0.837653 0.636108 0.490636
0.863891 0.641896 0.458801
0.89177 0.644791 0.421178
0.918523 0.647685 0.374872
0.945441 0.653473 0.328566
0.972546 0.656367 0.293837
1 0.659261 0.273578

Points: 36
Width: 0.125509
Duration: 336.575
Centroid: 0.476574 0.503843
0 0.188307 0.617484
0.130308 0.194947 0.617484
0.156583 0.254703 0.617484
0.182073 0.341018 0.604205
0.20767 0.447252 0.584286
0.233621 0.533567 0.564367
0.259624 0.619882 0.551088
0.286063 0.672999 0.551088
0.311129 0.706197 0.551088
0.336558 0.726116 0.551088
0.361244 0.746035 0.564367
0.387437 0.746035 0.597565
0.412555 0.746035 0.630763
0.438418 0.746035 0.670601
0.46328 0.712836 0.710439
0.489344 0.679638 0.750276
0.514771 0.639801 0.776835
0.540465 0.599963 0.783474
0.566263 0.540206 0.790114
0.591708 0.487089 0.790114
0.616928 0.433973 0.790114
0.641514 0.387495 0.763555
0.667303 0.334378 0.730357
0.692789 0.30118 0.68388
0.717772 0.267982 0.610844
0.74341 0.248063 0.531169
0.769463 0.234784 0.405016
0.794291 0.234784 0.285503
0.819029 0.248063 0.17263
0.845582 0.30782 0.0796753
0.870873 0.394135 0.0265584
0.896377 0.487089 0.00663961
0.922541 0.580044 0
0.948278 0.679638 0
0.974097 0.746035 0.0132792
1 0.785872 0.0265584

Points: 0
Width: 6.20661e-36
Duration: 1.4013e-45
Centroid: 0 0

Points: 37
Width: 0.191982
Duration: 354.717
Centroid: 0.511847 0.498649
0 0.425739 0.794345
0.134862 0.425739 0.785664
0.160069 0.425739 0.733576
0.183298 0.425739 0.638081
0.207143 0.425739 0.520882
0.231454 0.425739 0.38198
0.255754 0.421398 0.260441
0.279792 0.421398 0.177968
0.303782 0.421398 0.095495
0.327902 0.421398 0.0477475
0.351852 0.421398 0.0173627
0.376006 0.421398 0.00434068
0.401055 0.421398 0
0.438547 0.421398 0.0173627
0.463868 0.417058 0.0737916
0.488716 0.412717 0.160605
0.512084 0.412717 0.286485
0.535766 0.412717 0.416706
0.560414 0.412717 0.538245
0.584788 0.417058 0.646762
0.609504 0.438761 0.711873
0.633402 0.469146 0.768301
0.65843 0.499531 0.803027
