Points: 26
Width: 0.133269
Duration: 308.034
Centroid: 0.455449 0.661603
0 0.510822 0.969215
0.0125893 0.529581 0.956709
0.0320843 0.529581 0.93795
0.045027 0.529581 0.912938
0.0579737 0.523328 0.869167
0.0781242 0.517075 0.806637
0.106118 0.517075 0.744107
0.133605 0.517075 0.581529
0.159829 0.529581 0.412698
0.188669 0.54834 0.262626
0.214307 0.579605 0.137566
0.241117 0.592111 0.0937952
0.268348 0.629629 0.031265
0.296658 0.673401 0.006253
0.322699 0.729677 0
0.779046 0.367003 0.481481
0.791752 0.323232 0.481481
0.811133 0.304473 0.481481
0.824307 0.291967 0.481481
0.836864 0.291967 0.475228
0.863473 0.304473 0.468975
0.889895 0.373256 0.462722
0.918162 0.479557 0.468975
0.945536 0.535834 0.481481
0.973229 0.623377 0.493987
1 0.648389 0.50024

Points: 24
Width: 0.121944
Duration: 176.008
Centroid: 0.433333 0.651389
0 0.335991 0.965831
0.0220077 0.335991 1
0.0446313 0.329157 1
0.078446 0.322323 1
0.100871 0.322323 0.972665
0.147848 0.322323 0.924829
0.192961 0.322323 0.849658
0.242842 0.349658 0.535307
0.288572 0.363326 0.425968
0.335043 0.376993 0.268793
0.383168 0.39066 0.179954
0.431879 0.397494 0.159453
0.477385 0.411162 0.179954
0.525852 0.431663 0.220957
0.574617 0.486332 0.330296
0.621257 0.561503 0.432802
0.669095 0.636674 0.473804
0.715954 0.698177 0.460137
0.764472 0.718679 0.432802
0.811742 0.752847 0.357631
0.856277 0.773348 0.275627
0.904283 0.780182 0.234624
0.953493 0.787016 0.173121
1 0.793849 0.145786

Points: 24
Width: 0.0587502
Duration: 174.848
Centroid: 0.435139 0.600417
0 0.130025 0.695034
0.0222221 0.11584 0.652481
0.0460541 0.11584 0.609928
0.0795262 0.11584 0.581559
0.102019 0.172578 0.539006
0.141254 0.229315 0.496453
0.187769 0.413712 0.468084
0.236156 0.513002 0.468084
0.28439 0.683215 0.496453
0.332016 0.825058 0.581559
0.377456 0.89598 0.695034
0.427945 0.881796 0.822693
0.475941 0.839243 0.879431
0.521251 0.711583 0.936168
0.568639 0.56974 0.921984
0.618767 0.427896 0.765956
0.665031 0.356974 0.652481
0.712869 0.271868 0.382978
0.759701 0.271868 0.156028
0.808789 0.399528 0.0283687
0.85673 0.484634 0
0.905616 0.711583 0.0141843
0.949717 0.89598 0.0709222
1 0.966902 0.0851066

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 26
Width: 0.116474
Duration: 196.1
Centroid: 0.403013 0.551474
0 0.358283 0.72262
0.0301497 0.372592 0.694001
0.0505014 0.379747 0.651073
0.0707548 0.379747 0.586681
0.105716 0.394056 0.500825
0.149628 0.408365 0.407815
0.192432 0.422675 0.221794
0.233585 0.436984 0.0787011
0.275691 0.444138 0.0143093
0.317037 0.451293 0
0.362578 0.451293 0.0214639
0.404613 0.436984 0.143093
0.445815 0.401211 0.364887
0.488567 0.394056 0.493671
0.530656 0.429829 0.779857
0.574279 0.458448 0.829939
0.616637 0.537149 0.887176
0.657155 0.623005 0.887176
0.700344 0.665933 0.851403
0.743682 0.758943 0.686846
0.785395 0.766098 0.636764
0.827144 0.751788 0.550908
0.871451 0.673087 0.493671
0.918116 0.623005 0.479361
0.958216 0.52284 0.486516
1 0.458448 0.529444

Points: 19
Width: 0.0672807
Duration: 131.771
Centroid: 0.451842 0.588947
0 0.560625 0.743156
0.0297293 0.498696 0.7927
0.0753442 0.449152 0.817471
0.105785 0.399608 0.817471
0.136148 0.350065 0.805085
0.181166 0.300521 0.755542
0.240977 0.263363 0.681226
0.303537 0.201433 0.470666
0.365371 0.213819 0.210561
0.431437 0.312907 0.0495437
0.494894 0.399608 0.0123859
0.560333 0.597783 0
0.622964 0.783572 0.111473
0.68319 0.870273 0.297262
0.74492 0.845502 0.495438
0.809436 0.795958 0.557367
0.875973 0.647327 0.619297
0.937621 0.523468 0.631683
1 0.48631 0.631683

Points: 19
Width: 0.114035
Duration: 191.233
Centroid: 0.465439 0.639035
0 0.468846 0.518846
0.0727621 0.468846 0.489615
0.0936918 0.461538 0.438461
0.125782 0.461538 0.38
0.14605 0.461538 0.314231
0.171346 0.461538 0.241154
0.215697 0.476154 0.175385
0.25725 0.505385 0.0657691
0.29986 0.556538 0.00730768
0.343703 0.585769 0
0.38857 0.636923 0.00730768
0.785046 0.527308 0.811154
0.815458 0.505385 0.847692
0.836258 0.498077 0.855
0.85744 0.490769 0.862308
0.888412 0.483461 0.869615
0.909995 0.483461 0.876923
0.953918 0.483461 0.876923
1 0.483461 0.862308

Points: 23
Width: 0.0726812
Duration: 169.251
Centroid: 0.500435 0.587681
0 0.726321 0.77966
0.0348647 0.726321 0.836988
0.0585703 0.680458 0.859919
0.0821144 0.646061 0.88285
0.11732 0.600199 0.88285
0.160678 0.554337 0.88285
0.208548 0.497009 0.88285
0.258769 0.33649 0.791126
0.307279 0.256231 0.699401
0.356875 0.2333 0.665004
0.407454 0.2333 0.607676
0.457381 0.313559 0.561814
0.507042 0.359422 0.538883
0.553551 0.474078 0.493021
0.606498 0.577268 0.401296
0.653612 0.657527 0.28664
0.701713 0.691924 0.171984
0.752333 0.691924 0.137587
0.800332 0.680458 0.0573279
0.851177 0.577268 0.0114656
0.898158 0.439681 0
0.946677 0.290628 0.0229312
1 0.256231 0.0458623

Points: 19
Width: 0.0692983
Duration: 137.219
Centroid: 0.497632 0.592632
0 0.493038 0.781645
0.0278979 0.444937 0.817721
0.0717552 0.408861 0.817721
0.100849 0.36076 0.817721
0.147983 0.312658 0.781645
