Points: 24
Width: 0.150972
Duration: 178.714
Centroid: 0.398889 0.675694
0 0.338086 1
0.021613 0.343606 0.961362
0.0553541 0.349126 0.911684
0.0776461 0.349126 0.856486
0.111849 0.354646 0.779209
0.15759 0.360165 0.707452
0.206724 0.371205 0.552898
0.252394 0.382245 0.420423
0.299024 0.382245 0.321067
0.347547 0.382245 0.26035
0.391126 0.382245 0.24379
0.445926 0.387764 0.24931
0.488242 0.409844 0.304508
0.532517 0.459522 0.403864
0.579735 0.49264 0.459061
0.624888 0.564397 0.536339
0.671775 0.625115 0.563937
0.719682 0.669273 0.541858
0.765215 0.707912 0.464581
0.812288 0.718951 0.420423
0.860012 0.729991 0.332107
0.906451 0.74103 0.26035
0.951079 0.74655 0.227231
1 0.75207 0.221711

Points: 26
Width: 0.0686539
Duration: 189.97
Centroid: 0.431282 0.626987
0 0.272176 0.619047
0.0201871 0.284314 0.570494
0.0516284 0.296452 0.558356
0.0730608 0.296452 0.534079
0.0939381 0.332867 0.521941
0.1255 0.393557 0.509803
0.163819 0.44211 0.497665
0.20724 0.563492 0.509803
0.251046 0.672735 0.558356
0.294693 0.757703 0.631185
0.341121 0.794117 0.679737
0.384469 0.806255 0.776843
0.42799 0.769841 0.873948
0.472671 0.721288 0.910363
0.516122 0.563492 0.934639
0.560968 0.502801 0.898225
0.602969 0.393557 0.788981
0.645985 0.296452 0.59477
0.690973 0.260038 0.485527
0.735262 0.235761 0.254902
0.779439 0.260038 0.0971053
0.820917 0.369281 0.0121382
0.86714 0.514939 0
0.91151 0.599906 0.0121382
0.953398 0.745564 0.0606908
1 0.854808 0.109243

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 30
Width: 0.132389
Duration: 265.392
Centroid: 0.442833 0.694056
0 0.709609 0.793117
0.0222217 0.715904 0.812001
0.0371999 0.709609 0.82459
0.0523529 0.69702 0.843474
0.0748984 0.684431 0.856063
0.0896153 0.671842 0.874947
0.119548 0.652958 0.893831
0.150295 0.615191 0.925304
0.181054 0.571129 0.937893
0.214101 0.54595 0.937893
0.245607 0.489299 0.893831
0.276503 0.445237 0.786823
0.307128 0.420058 0.629458
0.339108 0.413764 0.446915
0.371822 0.426353 0.365086
0.401707 0.451531 0.226605
0.432493 0.483004 0.119597
0.4646 0.495593 0.0818297
0.496334 0.501888 0.0251783
0.551134 0.508183 0
0.557785 0.508183 0
0.806279 0.294167 0.264372
0.821016 0.281578 0.270667
0.836055 0.281578 0.270667
0.858661 0.281578 0.276962
0.873505 0.300461 0.283256
0.905399 0.331934 0.289551
0.936683 0.413764 0.321024
0.967604 0.508183 0.358791
1 0.590012 0.390264

Points: 20
Width: 0.0728333
Duration: 142.17
Centroid: 0.44 0.636167
0 0.477116 0.720824
0.0265727 0.465675 0.755149
0.0546599 0.43135 0.778032
0.0970553 0.397025 0.789474
0.124909 0.374141 0.789474
0.183244 0.351258 0.778032
0.23935 0.29405 0.709382
0.296101 0.248283 0.537758
0.357682 0.236842 0.434783
0.416219 0.259725 0.20595
0.473479 0.351258 0.0572082
0.534781 0.488558 0
0.590385 0.648741 0.0343249
0.650757 0.717391 0.0800915
0.711379 0.831808 0.251717
0.768625 0.866133 0.446224
0.82787 0.854691 0.537758
0.883509 0.717391 0.675057
0.941658 0.545766 0.720824
1 0.442791 0.697941

Points: 23
Width: 0.0597101
